5-a	cont_a	5-b	cont_b	5-c	cont_c	5-d	cont_d	5-e	cont_e	5-f	cont_f	5-g	cont_g	5-h	cont_h	5-i	cont_i
れば	0.02205888	いも	0.037279339	こヒ	0.041147008	はな	0.040691947	ひト	0.047509308	なみ	0.024874694	きみ	0.05442746	かも	0.054036412	やま	0.06161391
あき	0.021672018	もノ	0.035628072	あら	0.035411967	わが	0.039650823	トも	0.029951009	おほ	0.02339822	まノ	0.039806091	おも	0.051441154	なく	0.033485997
ゆき	0.021594646	くも	0.027057205	つつ	0.027153508	ノは	0.02419413	コト	0.021798942	みノ	0.022388002	たま	0.033160014	コロ	0.038071645	くに	0.021245896
きノ	0.018654493	しも	0.024462355	らむ	0.023636016	いま	0.018988508	にし	0.018898687	ノう	0.021377783	わた	0.02080613	ココ	0.024859424	まに	0.017192883
にけ	0.018499749	もが	0.022732455	あれ	0.018971516	さき	0.016505826	トノ	0.017801293	うら	0.015238761	かは	0.019320536	るか	0.020848571	なき	0.01638228
あさ	0.016410693	なし	0.021002556	あは	0.018665647	たち	0.015544788	には	0.01686067	しま	0.014150833	まつ	0.019085969	もふ	0.016051276	しか	0.014680015
ける	0.015869086	まく	0.019587183	にあ	0.016753967	さか	0.014183318	あり	0.016782285	おき	0.013917706	かた	0.016662106	もひ	0.015107546	なか	0.014680015
ふる	0.014940617	まし	0.018958129	もあ	0.01392468	なに	0.01346254	われ	0.016625514	らに	0.012752069	みが	0.015880214	れド	0.013927883	あし	0.014598954
きは	0.014708499	ノを	0.017464124	あひ	0.013465877	はる	0.012982021	いは	0.014822653	しら	0.012363523	たる	0.01533289	ドも	0.01329873	キノ	0.014436834
みち	0.01439901	くら	0.015891488	トし	0.012395335	なノ	0.012661675	もト	0.014195571	きつ	0.012285814	がは	0.014316431	もは	0.01329873	かむ	0.014274713
けり	0.014244265	しく	0.015891488	にも	0.012395335	まさ	0.012020983	メや	0.012157554	あま	0.012130396	つキ	0.013612729	ロも	0.011568558	ノや	0.013464111
きに	0.01347054	あが	0.015734224	れは	0.012395335	メノ	0.011940896	トに	0.011060161	みや	0.011819559	ノか	0.01353454	あか	0.01086076	トト	0.01322093
かぜ	0.010994623	くし	0.013925693	らず	0.011936532	なり	0.011700637	りて	0.010981775	らし	0.011664141	なが	0.013456351	コノ	0.010388895	ほト	0.012815628
かす	0.010839878	をし	0.012903479	むト	0.011401262	がせ	0.011220118	やも	0.010825005	らな	0.011664141	また	0.012048946	もほ	0.010388895	りノ	0.011194423
しの	0.010762505	しき	0.012195793	ノち	0.01063659	りに	0.010899772	いで	0.009962767	する	0.011275595	はノ	0.011970757	わす	0.010074319	ぎす	0.010789122
もみ	0.010220898	くさ	0.011959898	ぎも	0.010177786	ばな	0.010098907	トい	0.0092573	ねノ	0.011197886	たか	0.011658001	しき	0.009838386	つか	0.010789122
はギ	0.010066153	くる	0.011645371	ノミ	0.010177786	ソノ	0.009538301	ゴト	0.009178914	ふね	0.010343086	がた	0.010641542	すら	0.009681098	しひ	0.010708061
しら	0.009834036	もに	0.011645371	メに	0.010177786	うメ	0.009298042	トは	0.009178914	まを	0.010032249	みを	0.010328785	はし	0.009602454	トぎ	0.01038382
すが	0.009679291	もな	0.011566739	わぎ	0.010101319	せこ	0.008977696	ヨし	0.009022144	かへ	0.00995454	はや	0.009703272	すれ	0.009445165	トり	0.01030276
ゆふ	0.009524546	こふ	0.011409475	しな	0.00926018	トき	0.008817523	しゲ	0.008708603	らノ	0.009799122	たり	0.009390516	つる	0.009445165	かノ	0.009654278
かり	0.009292429	して	0.01117358	はむ	0.009183712	こが	0.008337004	ノし	0.008159906	かし	0.00909974	かみ	0.00899957	かね	0.009287877	きて	0.009167916
さむ	0.009292429	いへ	0.010859052	ある	0.009107245	ちば	0.008016658	もり	0.008003135	たつ	0.009022031	たノ	0.008921381	ぬか	0.008894656	ゆか	0.008924736
ふり	0.009292429	かな	0.010544525	にみ	0.008648442	しみ	0.007936571	うつ	0.007532824	ノみ	0.008788903	がく	0.007904922	もヘ	0.008816012	きな	0.008276253
のノ	0.009215057	がも	0.009758207	もこ	0.008571975	みに	0.007936571	トか	0.007297668	はま	0.008322648	ひさ	0.007670355	から	0.008580079	まか	0.008276253
みれ	0.009137684	へに	0.009207785	だに	0.00841904	やど	0.007936571	ひに	0.007219283	みな	0.007934103	きま	0.007435787	ほゆ	0.00802957	くな	0.008195193
すみ	0.009060312	かく	0.008971889	まで	0.008342573	らば	0.007776399	りけ	0.007140898	うみ	0.00731243	みか	0.007123031	ノコ	0.007793638	かき	0.007870952
ヘに	0.008441332	らく	0.008893257	なら	0.008266106	づら	0.00729588	ノな	0.006905742	まも	0.00731243	つら	0.006966652	ロに	0.007400417	つま	0.00738459
あメ	0.008131843	トほ	0.008814626	コソ	0.007807303	いつ	0.007135707	しあ	0.006827356	むか	0.007157011	あま	0.006419328	ます	0.007321773	たづ	0.006655048
した	0.00774498	たび	0.008735994	みエ	0.007730835	せむ	0.00705562	トな	0.006827356	をト	0.006923884	はら	0.006419328	くれ	0.007164484	をか	0.006492927
けふ	0.007512863	くは	0.008500098	つも	0.007654368	がや	0.006815361	いふ	0.006670586	つし	0.006846175	がみ	0.006184761	ヘノ	0.00708584	ケば	0.006087626
ノあ	0.007512863	しを	0.008500098	はず	0.007654368	さと	0.006655188	ふト	0.006592201	ほき	0.006690756	まち	0.006028383	あが	0.007007196	づく	0.006087626
おく	0.007435491	しに	0.008421466	ひみ	0.007195565	どノ	0.006575101	ひて	0.00627866	まな	0.006690756	ヨひ	0.006028383	そで	0.006849908	せノ	0.005844445
なび	0.007358118	かり	0.008342835	なば	0.007119098	なる	0.006575101	もし	0.00627866	みゆ	0.006690756	ばた	0.005950194	がコ	0.006535331	ドり	0.005844445
たな	0.007280746	ほし	0.008342835	いメ	0.006966163	りな	0.006575101	けむ	0.006121889	しノ	0.006613047	りは	0.005793815	かれ	0.006535331	むか	0.005520204
つゆ	0.007280746	にし	0.008185571	かに	0.006889696	つく	0.006495015	コも	0.005886733	みつ	0.006613047	がき	0.005481059	れて	0.006456687	さノ	0.005195963
トき	0.007048629	らま	0.008185571	がこ	0.006736762	ちり	0.006414928	トを	0.005886733	へり	0.006457629	きコ	0.005481059	らを	0.006378043	トヨ	0.005195963
へノ	0.007048629	もを	0.007871044	かる	0.006736762	さく	0.006254755	しる	0.005494807	しこ	0.006302211	ノた	0.005481059	しろ	0.006299398	みづ	0.005114903
