sound	cont
あエ	7.84065E-06
あか	0.002257481
あが	0.01578188
あキ	7.84065E-06
あき	7.84065E-06
あく	0.000260335
あケ	7.08452E-05
あけ	7.84065E-06
あゲ	2.36528E-05
あご	7.84065E-06
あさ	0.00038535
あざ	0.000101575
あし	7.84065E-06
あじ	8.67184E-05
あす	7.84065E-06
あず	2.35695E-05
あせ	7.84065E-06
あぜ	0.000101788
あソ	5.47028E-05
あそ	0.000134094
あた	0.000529642
あだ	7.84065E-06
あぢ	7.84065E-06
あつ	8.60145E-05
あづ	2.34614E-05
あて	2.35918E-05
あト	2.33343E-05
あと	5.52771E-05
あド	5.47028E-05
あど	2.36528E-05
あな	0.000275021
あに	7.84065E-06
あノ	3.93816E-05
あの	2.36528E-05
あは	7.84065E-06
あば	3.8828E-05
あひ	0.000101997
あび	7.84065E-06
あふ	6.98153E-05
あぶ	7.0756E-05
あヘ	7.0515E-05
あへ	0.000242475
あベ	7.84065E-06
あほ	7.84065E-06
あま	7.84065E-06
あみ	3.92983E-05
あむ	7.84065E-06
あメ	7.84065E-06
あも	7.10059E-05
あや	0.00045052
あゆ	7.84065E-06
あよ	7.84065E-06
あら	2.33343E-05
あり	5.50272E-05
ある	7.84065E-06
あれ	0.000133131
あろ	7.84065E-06
あわ	2.34614E-05
あゐ	7.84065E-06
あを	3.94039E-05
いか	0.001346665
いき	0.000481631
いく	3.93429E-05
いケ	0.000338614
いけ	5.50272E-05
いコ	7.84065E-06
いこ	8.65829E-05
いさ	0.000242025
いざ	3.8828E-05
いし	7.84065E-06
いせ	7.84065E-06
いソ	7.84065E-06
いそ	7.84065E-06
いた	0.000181103
いだ	7.84065E-06
いち	7.84065E-06
いつ	7.84065E-06
いづ	0.000117191
いて	7.84065E-06
いで	5.50272E-05
いト	5.49586E-05
いと	2.33343E-05
いな	7.84065E-06
いに	0.001405235
いぬ	8.65071E-05
いね	5.50272E-05
いノ	7.84065E-06
いの	7.84065E-06
いは	0.000353851
いば	3.8955E-05
いひ	3.92983E-05
いび	2.36528E-05
いふ	2.33343E-05
いぶ	0.000274503
いヘ	3.8955E-05
いへ	5.47028E-05
いほ	7.84065E-06
いま	7.09062E-05
いみ	7.84065E-06
いむ	0.000163012
いメ	0.001507838
いも	0.01626575
いや	3.94039E-05
いゆ	5.52161E-05
いヨ	8.61605E-05
いら	7.84065E-06
いり	3.9465E-05
いる	2.35695E-05
いロ	6.98153E-05
いわ	2.33343E-05
いを	3.90821E-05
うう	2.34614E-05
うか	0.000306911
うき	0.000193765
うぐ	7.84065E-06
うケ	7.84065E-06
うけ	7.84065E-06
うご	7.84065E-06
うさ	2.34614E-05
うし	0.000180637
うす	0.000428597
うず	7.84065E-06
うせ	2.34614E-05
うた	0.000464706
うだ	7.84065E-06
うち	0.002547889
うぢ	0.000117942
うつ	0.000228514
うづ	8.60814E-05
うて	2.33343E-05
うト	2.35918E-05
うな	5.46401E-05
うに	2.34614E-05
うぬ	7.84065E-06
うね	2.36528E-05
うノ	3.90821E-05
うは	0.000117555
うば	7.84065E-06
うヘ	0.000149076
うへ	7.84065E-06
うベ	0.000213399
うま	5.47028E-05
うみ	7.84065E-06
うむ	7.84065E-06
うメ	5.51938E-05
うも	7.84065E-06
うや	7.84065E-06
うら	5.50272E-05
うる	0.000588755
うれ	0.000227937
うゑ	7.84065E-06
うを	7.84065E-06
エい	7.84065E-06
えい	7.84065E-06
エう	7.84065E-06
エか	7.84065E-06
えか	7.84065E-06
エが	7.84065E-06
えが	7.84065E-06
エき	5.49586E-05
エく	0.000117472
エけ	0.000133381
エコ	2.35695E-05
エこ	3.93429E-05
エざ	2.33343E-05
エし	0.000163012
えし	7.84065E-06
エじ	0.000148314
エす	3.90855E-05
えす	2.34614E-05
エず	0.001376747
えず	7.84065E-06
エせ	3.9465E-05
えせ	2.33343E-05
エソ	7.84065E-06
エた	7.84065E-06
