uta	att
4	0.123099415
6	0.108513709
7	0.152669553
8	0.178362573
9	0.114478114
10	0.099415205
11	0.078362573
12	0.191520468
14	0.120467836
15	0.137085137
18	0.107309942
19	0.107309942
20	0.080994152
21	0.077344877
22	0.146783626
23	0.210074074
24	0.173099415
27	0.07994228
28	0.104678363
30	0.168253968
31	0.157864358
32	0.137085137
33	0.202046784
34	0.180994152
35	0.09033189
37	0.100721501
39	0.096783626
40	0.29033189
41	0.165204678
42	0.238888889
43	0.117836257
44	0.138888889
46	0.085137085
47	0.095526696
48	0.128362573
49	0.157309942
51	0.159407407
53	0.167836257
54	0.115204678
55	0.078362573
56	0.096783626
57	0.099415205
58	0.175730994
59	0.083625731
60	0.100721501
61	0.091520468
62	0.149415205
63	0.141520468
64	0.07994228
65	0.152669553
66	0.138888889
67	0.124098124
68	0.147474747
69	0.112573099
70	0.080994152
71	0.104678363
72	0.173099415
73	0.128362573
74	0.102046784
75	0.116305916
76	0.124098124
77	0.13968254
78	0.099430199
80	0.129292929
81	0.13625731
82	0.083625731
83	0.20981241
84	0.124098124
85	0.091520468
86	0.087734488
87	0.085137085
88	0.080994152
89	0.078362573
90	0.102046784
91	0.13019943
92	0.083625731
93	0.094301994
94	0.094152047
95	0.119407407
96	0.108513709
97	0.103318903
98	0.078362573
99	0.075730994
100	0.124098124
101	0.087734488
102	0.084045584
103	0.149415205
104	0.083625731
105	0.099415205
106	0.103318903
107	0.094152047
108	0.080994152
109	0.170467836
110	0.099415205
111	0.10994152
112	0.075730994
113	0.080994152
114	0.082539683
115	0.082539683
116	0.102046784
117	0.08625731
118	0.120467836
119	0.099415205
120	0.071225071
121	0.199415205
122	0.149415205
123	0.094152047
124	0.09033189
125	0.087734488
126	0.146783626
127	0.116305916
128	0.124098124
129	0.100740741
130	0.08625731
132	0.133625731
133	0.116305916
134	0.099415205
136	0.130994152
137	0.105916306
139	0.152669553
140	0.074747475
141	0.096783626
142	0.082539683
143	0.115204678
144	0.085137085
145	0.096604938
146	0.078362573
147	0.137085137
