sound	cont
あエ	7.75728E-06
あか	7.75728E-06
あが	0.005176938
あキ	7.75728E-06
あき	7.75728E-06
あく	7.75728E-06
あケ	3.99725E-05
あけ	3.84557E-05
あゲ	2.30507E-05
あご	7.75728E-06
あさ	2.30507E-05
あざ	5.36376E-05
あし	6.98169E-05
あじ	7.75728E-06
あす	6.93624E-05
あず	2.38649E-05
あせ	2.30507E-05
あぜ	9.97571E-05
あソ	7.75728E-06
あそ	7.75728E-06
あた	7.75728E-06
あだ	2.30507E-05
あぢ	0.000176742
あつ	7.75728E-06
あづ	0.000100597
あて	2.30507E-05
あト	2.38649E-05
あと	7.75728E-06
あド	3.84239E-05
あど	7.75728E-06
あな	8.59724E-05
あに	0.000117413
あノ	2.30507E-05
あの	5.54458E-05
あは	0.011061233
あば	7.75728E-06
あひ	0.013249698
あび	3.85957E-05
あふ	0.00427399
あぶ	2.38649E-05
あヘ	0.000131004
あへ	5.38526E-05
あベ	7.75728E-06
あほ	7.75728E-06
あま	2.38649E-05
あみ	7.75728E-06
あむ	8.68867E-05
あメ	0.000490985
あも	5.4069E-05
あや	7.21877E-05
あゆ	0.000131544
あよ	7.75728E-06
あら	0.028615748
あり	0.003521539
ある	0.006532865
あれ	0.007526525
あろ	7.75728E-06
あわ	7.75728E-06
あゐ	0.000116511
あを	0.000978503
いか	0.00412007
いき	0.000391532
いく	0.00029909
いケ	0.00012051
いけ	0.000697476
いコ	2.30507E-05
いこ	7.75728E-06
いさ	7.75728E-06
いざ	7.75728E-06
いし	6.96504E-05
いせ	3.84875E-05
いソ	7.75728E-06
いそ	7.75728E-06
いた	3.87039E-05
いだ	2.32306E-05
いち	0.000410447
いつ	0.000238775
いづ	7.75728E-06
いて	2.30906E-05
いで	0.002052154
いト	0.000152726
いと	0.00060388
いな	0.002611833
いに	2.30507E-05
いぬ	9.97571E-05
いね	0.00025533
いノ	0.004786138
いの	2.30507E-05
いは	7.75728E-06
いば	3.91982E-05
いひ	0.00011565
いび	3.99725E-05
いふ	7.75728E-06
いぶ	2.32306E-05
いヘ	7.75728E-06
いへ	0.002481607
いほ	0.000313802
いま	3.83442E-05
いみ	3.85639E-05
いむ	7.75728E-06
いメ	0.004494315
いも	0.005446848
いや	0.000160907
いゆ	0.00014808
いヨ	7.75728E-06
いら	2.32306E-05
いり	7.75728E-06
いる	6.92177E-05
いロ	7.75728E-06
