uta	att
4	0.107309942
6	0.118903319
7	0.105916306
8	0.080994152
9	0.114478114
10	0.096783626
11	0.099415205
12	0.08625731
14	0.112573099
15	0.170851371
18	0.099415205
19	0.120467836
20	0.112573099
21	0.077344877
22	0.128362573
23	0.122074074
24	0.094152047
27	0.144877345
28	0.120467836
30	0.124098124
31	0.105916306
32	0.113708514
33	0.141520468
34	0.102046784
35	0.087734488
37	0.20981241
39	0.180994152
40	0.100721501
41	0.133625731
42	0.083625731
43	0.088888889
44	0.141520468
46	0.085137085
47	0.105916306
48	0.123099415
49	0.157309942
51	0.130074074
53	0.128362573
54	0.152046784
55	0.08625731
56	0.183625731
57	0.102046784
58	0.08625731
59	0.13625731
60	0.092929293
61	0.144152047
62	0.144152047
63	0.120467836
64	0.100721501
65	0.173448773
66	0.133625731
67	0.103318903
68	0.077344877
69	0.099415205
70	0.088888889
71	0.088888889
72	0.088888889
73	0.107309942
74	0.138888889
75	0.07994228
76	0.124098124
77	0.131890332
78	0.135327635
80	0.113708514
81	0.152046784
82	0.13625731
83	0.116305916
84	0.103318903
85	0.107309942
86	0.07994228
87	0.121500722
88	0.128362573
89	0.173099415
90	0.112573099
91	0.099430199
92	0.130994152
93	0.117378917
94	0.112573099
95	0.122074074
96	0.103318903
97	0.092929293
98	0.120467836
99	0.115204678
100	0.105916306
101	0.131890332
102	0.099430199
103	0.094152047
104	0.088888889
105	0.125730994
106	0.121500722
107	0.094152047
108	0.112573099
109	0.099415205
110	0.10994152
111	0.149415205
112	0.083625731
113	0.18625731
114	0.134487734
115	0.098124098
116	0.154678363
117	0.125730994
118	0.117836257
119	0.199415205
120	0.071225071
121	0.091520468
122	0.102046784
123	0.120467836
124	0.113708514
125	0.082539683
126	0.115204678
127	0.111111111
128	0.095526696
129	0.100740741
130	0.144152047
132	0.102046784
133	0.100721501
134	0.107309942
136	0.125730994
137	0.105916306
139	0.103318903
140	0.092929293
141	0.096783626
142	0.085137085
143	0.112573099
144	0.100721501
145	0.107716049
146	0.125730994
147	0.13968254
148	0.165656566
149	0.115204678
151	0.102046784
152	0.138888889
154	0.105916306
156	0.126599327
157	0.105916306
158	0.094152047
160	0.112050078
161	0.117836257
163	0.087734488
164	0.096783626
165	0.137891738
166	0.091737892
168	0.138888889
169	0.183625731
170	0.123099415
171	0.133625731
172	0.10994152
173	0.118903319
174	0.138888889
175	0.126695527
176	0.107309942
177	0.08625731
178	0.123099415
179	0.128362573
180	0.112573099
181	0.137085137
182	0.08625731
183	0.123099415
184	0.154678363
185	0.120467836
186	0.165204678
187	0.091520468
188	0.125730994
189	0.13968254
190	0.099415205
191	0.130994152
192	0.094152047
193	0.095526696
195	0.105916306
197	0.168253968
198	0.180994152
200	0.162573099
201	0.099415205
202	0.128362573
203	0.085137085
205	0.115204678
206	0.099415205
208	0.091520468
209	0.098124098
211	0.141520468
212	0.082539683
214	0.125730994
215	0.077344877
216	0.112573099
218	0.141520468
219	0.124740741
221	0.074747475
222	0.115204678
223	0.111111111
224	0.142279942
225	0.142279942
226	0.089173789
227	0.104558405
228	0.104678363
229	0.087734488
231	0.08625731
232	0.148148148
233	0.104678363
234	0.131890332
235	0.124098124
235.1	0.121500722
236	0.10968661
237	0.10968661
238	0.138888889
240	0.165204678
241	0.13625731
242	0.094301994
243	0.116305916
244	0.111111111
245	0.096783626
246	0.100721501
247	0.08625731
248	0.170467836
249	0.114930556
250	0.104678363
251	0.079407407
252	0.091520468
253	0.112573099
254	0.105916306
255	0.128362573
256	0.096866097
256.1	0.099430199
258	0.087734488
259	0.100721501
262	0.096783626
263	0.096866097
264	0.123099415
265	0.113708514
266	0.112250712
267	0.117836257
268	0.112573099
269	0.087734488
270	0.112573099
271	0.133625731
272	0.104678363
273	0.105916306
274	0.107309942
275	0.115204678
276	0.126695527
276.1	0.134487734
277	0.130994152
278	0.111111111
279	0.107309942
280	0.112573099
281	0.10994152
282	0.123099415
283	0.115204678
284	0.099415205
285	0.122507123
286	0.112573099
287	0.078362573
288	0.09033189
289	0.141520468
290	0.133625731
291	0.10994152
292	0.167836257
293	0.093993994
294	0.09033189
295	0.123099415
296	0.121500722
297	0.189033189
298	0.120467836
299	0.099415205
300	0.117836257
301	0.085137085
302	0.178917379
303	0.096783626
304	0.137085137
305	0.098124098
306	0.087734488
307	0.189033189
308	0.099415205
309	0.112573099
310	0.104678363
311	0.152046784
312	0.124098124
313	0.157864358
314	0.141520468
316	0.173099415
318	0.096866097
320	0.107309942
321	0.125730994
323	0.10994152
325	0.16046176
326	0.125730994
327	0.100721501
328	0.128362573
329	0.129292929
330	0.102046784
331	0.107309942
332	0.127635328
333	0.120467836
334	0.096783626
335	0.112573099
336	0.151407407
337	0.107309942
338	0.082539683
339	0.111111111
340	0.095526696
341	0.098124098
342	0.09033189
343	0.099415205
344	0.115204678
345	0.09033189
346	0.094152047
347	0.100721501
348	0.080994152
349	0.076353276
350	0.096783626
351	0.104678363
352	0.082074074
353	0.102046784
354	0.095526696
355	0.120467836
356	0.227994228
357	0.095526696
358	0.098124098
359	0.085137085
360	0.085137085
361	0.104678363
362	0.091520468
363	0.120467836
364	0.131890332
365	0.08625731
367	0.100721501
368	0.13625731
369	0.103318903
370	0.104678363
371	0.142279942
373	0.10994152
374	0.08625731
375	0.183625731
376	0.103318903
377	0.113708514
378	0.103318903
380	0.134487734
381	0.077344877
383	0.128362573
384	0.108298172
385	0.115204678
386	0.100721501
387	0.077344877
389	0.112573099
390	0.085137085
391	0.104678363
392	0.107309942
393	0.123099415
394	0.096783626
395	0.085137085
396	0.095526696
397	0.096783626
398	0.089173789
399	0.098124098
400	0.084045584
401	0.088888889
402	0.07994228
403	0.100721501
404	0.096783626
405	0.086609687
406	0.133625731
407	0.09033189
408	0.120467836
409	0.120467836
410	0.099430199
411	0.091520468
412	0.099415205
413	0.101994302
414	0.094152047
415	0.089173789
416	0.125730994
417	0.141520468
418	0.138888889
419	0.104678363
421	0.125730994
422	0.100721501
424	0.103318903
425	0.137085137
426	0.115204678
427	0.100721501
428	0.131890332
429	0.112573099
430	0.175730994
432	0.102046784
433	0.098124098
434	0.116305916
435	0.088888889
436	0.105916306
437	0.147474747
438	0.098124098
439	0.099415205
440	0.096783626
441	0.132763533
442	0.125730994
444	0.095526696
445	0.144152047
446	0.124098124
447	0.09033189
448	0.116305916
449	0.120467836
450	0.115204678
451	0.083625731
452	0.125730994
453	0.096783626
454	0.125730994
455	0.102046784
456	0.096783626
457	0.102046784
458	0.100721501
459	0.150712251
461	0.095526696
462	0.104678363
463	0.108513709
464	0.124098124
465	0.13625731
467	0.082539683
468	0.082539683
469	0.099415205
470	0.118903319
471	0.10994152
472	0.096783626
473	0.104678363
474	0.114814815
476	0.100721501
477	0.118903319
479	0.129292929
480	0.104558405
482	0.107122507
483	0.091520468
484	0.107309942
486	0.103318903
487	0.118903319
488	0.104678363
489	0.075730994
490	0.09033189
491	0.118903319
492	0.085137085
493	0.13968254
494	0.092929293
495	0.126695527
496	0.095526696
497	0.091520468
498	0.094152047
499	0.171225071
500	0.091520468
501	0.123099415
502	0.085137085
503	0.091737892
504	0.095526696
505	0.085137085
