2-a	cont_a	2-b	cont_b	2-c	cont_c	2-d	cont_d	2-e	cont_e	2-f	cont_f	2-g	cont_g	2-h	cont_h	2-i	cont_i
やま	0.059560002	おも	0.051277811	もノ	0.034859709	なみ	0.024839949	なく	0.036111666	ノは	0.025110352	トも	0.031047493	こヒ	0.037136069	かも	0.0567929
まノ	0.039396663	ひト	0.047812562	あら	0.034092043	みノ	0.022123928	はな	0.020695715	あき	0.021502322	コト	0.021323272	あが	0.019256634	きみ	0.055748765
たま	0.031268805	コロ	0.038125615	いも	0.028334549	ノう	0.020727118	トき	0.020296338	ゆき	0.021425556	あは	0.019767397	わが	0.017968026	おほ	0.024183768
まつ	0.019077019	ココ	0.025445954	らむ	0.026799217	わた	0.020183913	たち	0.019337833	はな	0.019276091	われ	0.01922284	こふ	0.012169291	るか	0.022978997
かた	0.016654293	にし	0.019224257	くも	0.026185084	かは	0.018243899	なし	0.018459204	にけ	0.018431659	あれ	0.018522696	ふる	0.011927677	しき	0.022577407
つキ	0.016107225	トノ	0.019066745	しも	0.024649752	あま	0.018088697	くに	0.017340948	きノ	0.016896327	にあ	0.017200202	わぎ	0.011686063	みが	0.017999277
まに	0.014622328	もふ	0.016152786	もが	0.022116455	しま	0.01576068	かり	0.016462319	れば	0.016896327	むト	0.016889027	あひ	0.011283373	れド	0.014866873
キノ	0.013997108	もひ	0.014183894	まく	0.019659924	うら	0.015062274	なき	0.015663565	さき	0.015975128	には	0.015177564	メに	0.010961221	みに	0.014224328
あし	0.013918956	もト	0.013632605	つつ	0.019429624	がは	0.01444147	をし	0.014625185	はる	0.015207462	あり	0.015099771	ノミ	0.010719607	みや	0.012296695
ノや	0.012746669	もは	0.013396338	まし	0.017663993	たる	0.014131067	なか	0.014545309	きは	0.014363029	いは	0.01447742	ぎも	0.010639069	かし	0.012136059
つく	0.012355906	ロも	0.011663713	ノを	0.017433693	おき	0.013898266	いま	0.013826431	わが	0.014132729	して	0.014010658	まで	0.010639069	ヨし	0.01165415
むか	0.011261772	トに	0.011348691	かく	0.016358961	らに	0.013355061	かな	0.013187428	きに	0.013825663	コソ	0.01323272	いで	0.010075303	みを	0.010931288
かむ	0.011027314	かに	0.011269935	くら	0.016128661	しら	0.012734257	トト	0.013027677	けり	0.01344183	まさ	0.012921545	しな	0.010075303	あか	0.010369061
しひ	0.010480247	ドも	0.010954912	にも	0.015207462	ノか	0.012734257	なノ	0.013027677	ける	0.012904464	メや	0.012688164	こが	0.009430999	みれ	0.009646199
たか	0.010323942	ゴト	0.010876157	しく	0.015053929	はノ	0.012423854	ねノ	0.0126283	メノ	0.011445899	れは	0.01261037	もこ	0.009350461	ほし	0.009565881
ゆふ	0.009151655	もほ	0.010403623	きて	0.014363029	きつ	0.012113452	ほト	0.0126283	かす	0.010754999	もに	0.012532576	にみ	0.009189385	はし	0.009405245
たノ	0.00899535	コノ	0.010167356	くし	0.014055963	する	0.012113452	あさ	0.012308798	かぜ	0.010447933	また	0.012143607	もり	0.009189385	ぬか	0.009083973
ゆか	0.00899535	わす	0.0100886	ゆく	0.01344183	たり	0.011725449	もな	0.011829546	もみ	0.010371166	トし	0.01198802	がせ	0.009108847	みか	0.008843018
まか	0.008839045	すら	0.009773577	もあ	0.012136798	らノ	0.011027044	なり	0.011749671	はギ	0.0102944	はむ	0.011676845	から	0.009108847	けふ	0.008521746
つま	0.008526435	ゆる	0.009143532	くさ	0.011676199	ふね	0.010406239	しか	0.011430169	ふり	0.0102944	やも	0.011287876	せこ	0.009028309	しか	0.00836111
