sound	cont
あエ	2.35676E-05
あか	3.91875E-05
あが	0.004761672
あキ	7.84124E-06
あき	2.38342E-05
あく	7.84124E-06
あケ	0.001369704
あけ	7.84124E-06
あゲ	0.000211911
あご	3.90754E-05
あさ	8.57158E-05
あざ	7.84124E-06
あし	7.84124E-06
あじ	7.84124E-06
あす	0.00021575
あず	7.84124E-06
あせ	7.84124E-06
あぜ	7.07467E-05
あソ	2.34583E-05
あそ	7.84124E-06
あた	0.001531943
あだ	6.92545E-05
あぢ	7.84124E-06
あつ	3.85479E-05
あづ	2.35676E-05
あて	2.38342E-05
あト	3.98272E-05
あと	8.59266E-05
あド	3.92865E-05
あど	7.84124E-06
あな	7.84124E-06
あに	7.84124E-06
あノ	2.34583E-05
あの	3.9294E-05
あは	3.90754E-05
あば	3.92865E-05
あひ	5.50092E-05
あび	7.84124E-06
あふ	2.34583E-05
あぶ	5.50683E-05
あヘ	7.84124E-06
あへ	0.000549439
あベ	5.50203E-05
あほ	7.84124E-06
あま	2.34583E-05
あみ	0.000151237
あむ	7.04151E-05
あメ	0.001280622
あも	7.84124E-06
あや	0.000354088
あゆ	0.000102199
あよ	2.31946E-05
あら	0.006824715
あり	0.000162693
ある	0.001359303
あれ	0.000330634
あろ	7.84124E-06
あわ	7.84124E-06
あゐ	5.50092E-05
あを	7.84124E-06
いか	0.00010128
いき	0.000626341
いく	0.000315281
いケ	0.000463902
いけ	0.000257873
いコ	7.84124E-06
いこ	7.84124E-06
いさ	3.95606E-05
いざ	0.000100225
いし	7.84124E-06
いせ	5.39012E-05
いソ	7.84124E-06
いそ	3.98272E-05
いた	0.000284201
いだ	7.84124E-06
いち	7.07467E-05
いつ	0.003421289
いづ	7.84124E-06
いて	2.35676E-05
いで	0.001556258
いト	0.000150384
いと	5.44287E-05
いな	7.84124E-06
いに	7.84124E-06
いぬ	7.84124E-06
いね	7.84124E-06
いノ	0.000514501
いの	7.84124E-06
いは	0.003245229
いば	2.35676E-05
いひ	0.000448131
いび	7.84124E-06
いふ	2.31946E-05
いぶ	3.89172E-05
いヘ	7.84124E-06
いへ	0.006895333
いほ	0.000146021
いま	7.84124E-06
いみ	7.84124E-06
いむ	0.000161374
いメ	7.84124E-06
いも	0.013439852
いや	0.000333189
いゆ	2.38342E-05
いヨ	7.03095E-05
いら	8.59266E-05
いり	0.00051239
いる	3.9294E-05
いロ	7.84124E-06
いわ	2.31946E-05
いを	5.46473E-05
うう	7.84124E-06
うか	7.84124E-06
うき	5.42705E-05
うぐ	2.35676E-05
うケ	0.000242955
うけ	5.55498E-05
うご	0.00017842
うさ	7.84124E-06
うし	7.84124E-06
うす	7.84124E-06
うず	2.38342E-05
うせ	5.46399E-05
うた	3.9294E-05
うだ	2.35639E-05
うち	0.000258665
うぢ	3.85479E-05
うつ	7.84124E-06
うづ	7.84124E-06
うて	7.84124E-06
うト	7.84124E-06
うな	7.84124E-06
うに	7.84124E-06
うぬ	7.84124E-06
うね	3.98272E-05
うノ	2.38342E-05
うは	7.84124E-06
うば	7.84124E-06
うヘ	0.00010128
うへ	5.52869E-05
うベ	7.84124E-06
うま	7.84124E-06
うみ	7.84124E-06
うむ	7.84124E-06
うメ	7.84124E-06
うも	5.50203E-05
うや	7.84124E-06
うら	0.000117326
うる	0.000101544
うれ	0.000516418
うゑ	3.98272E-05
うを	2.35676E-05
エい	3.92865E-05
えい	7.84124E-06
エう	7.84124E-06
エか	5.58201E-05
えか	7.84124E-06
エが	5.45408E-05
えが	2.31946E-05
エき	0.000386522
エく	3.92865E-05
エけ	7.84124E-06
エコ	0.000231743
エこ	2.38342E-05
エざ	7.84124E-06
エし	5.58201E-05
えし	2.38342E-05
エじ	7.84124E-06
エす	3.92865E-05
えす	2.35676E-05
エず	0.000100704
えず	3.91847E-05
エせ	7.84124E-06
えせ	7.84124E-06
エソ	3.98272E-05
エた	3.9294E-05
えた	7.84124E-06
エだ	2.35639E-05
エつ	2.31946E-05
えつ	7.84124E-06
エて	3.98272E-05
えて	7.84124E-06
エト	2.31946E-05
エと	7.84124E-06
エな	6.92545E-05
えな	2.31946E-05
エに	3.9181E-05
エぬ	0.000228229
えぬ	0.000118288
エね	2.31946E-05
えね	7.84124E-06
エノ	7.10022E-05
エの	3.95606E-05
えノ	7.84124E-06
エは	7.84124E-06
エば	0.000117926
エび	3.92903E-05
エま	3.88116E-05
エみ	2.31946E-05
エむ	0.00035374
えむ	2.35676E-05
エメ	7.84124E-06
エも	2.34583E-05
えも	7.84124E-06
エゆ	7.18131E-05
えゆ	7.84124E-06
エヨ	7.84124E-06
エよ	2.31946E-05
えら	7.84124E-06
えり	3.94513E-05
エを	7.06263E-05
えを	2.35639E-05
おい	5.4538E-05
おう	2.35676E-05
おか	7.84124E-06
おキ	3.85479E-05
おき	7.84124E-06
おく	0.001233014
おけ	2.38342E-05
おコ	3.98272E-05
おさ	2.35639E-05
おし	3.90754E-05
おす	7.84124E-06
おソ	7.84124E-06
おた	7.84124E-06
おち	7.84124E-06
おつ	8.61452E-05
おト	3.9181E-05
おド	2.31946E-05
おな	8.66784E-05
おノ	3.92865E-05
おは	2.35639E-05
おば	2.31946E-05
おヒ	8.61E-05
おひ	0.000163557
おび	7.07976E-05
おふ	7.00458E-05
おへ	7.84124E-06
おほ	5.50092E-05
おぼ	2.35639E-05
おみ	3.92903E-05
おメ	7.84124E-06
おも	7.84124E-06
おや	7.84124E-06
おゆ	5.54442E-05
おヨ	7.84124E-06
およ	7.84124E-06
おり	2.31946E-05
おる	7.84124E-06
おロ	0.00015065
かあ	0.000130668
があ	0.000315547
かい	0.00013353
がい	0.00123381
かう	3.92865E-05
がう	3.98272E-05
かエ	7.07393E-05
がエ	0.000277019
かお	8.75395E-05
がお	7.84124E-06
かか	0.000463861
かが	2.35639E-05
がか	0.000229755
かキ	2.35676E-05
かき	0.000951208
かぎ	0.000226903
がキ	8.72654E-05
がき	0.00285094
かく	0.005352762
かぐ	8.78061E-05
がく	0.004689726
かケ	8.78061E-05
かけ	7.84124E-06
かゲ	0.000102718
がケ	7.84124E-06
がけ	0.00013347
かコ	0.0001179
かこ	2.35676E-05
かゴ	7.84124E-06
かご	0.000179629
がコ	7.84124E-06
がこ	0.000448179
がゴ	7.84124E-06
かさ	0.000263729
かざ	2.38342E-05
がさ	3.85479E-05
かし	3.90754E-05
かじ	0.000222788
がし	5.58201E-05
がじ	2.35676E-05
かす	2.34583E-05
かず	0.00066988
がす	0.000632524
がず	7.84124E-06
かせ	7.84124E-06
かぜ	8.78061E-05
がせ	0.000165068
かソ	3.92865E-05
かそ	7.84124E-06
かゾ	2.35639E-05
かぞ	7.84124E-06
がソ	7.84124E-06
がそ	2.35676E-05
がゾ	2.35639E-05
かた	0.003142192
かだ	3.9294E-05
がた	0.004929364
かち	2.38342E-05
かぢ	7.84124E-06
がち	0.000102185
かつ	0.000135785
かづ	2.35639E-05
がつ	0.001066589
かて	0.000398705
がて	0.001900674
かト	0.000807489
かと	2.35676E-05
かド	7.84124E-06
かど	0.000410246
がト	0.000133652
がと	0.00019642
かな	0.002489983
がな	0.000400627
かに	0.000240251
がに	7.84124E-06
かぬ	0.000133622
