sound	cont
あエ	2.39241E-05
あか	0.00013575
あが	7.94906E-06
あキ	7.94906E-06
あき	7.94906E-06
あく	7.94906E-06
あケ	7.94906E-06
あけ	7.94906E-06
あゲ	0.000309961
あご	7.94906E-06
あさ	0.002722049
あざ	8.70995E-05
あし	7.94906E-06
あじ	7.94906E-06
あす	2.38076E-05
あず	8.71769E-05
あせ	7.94906E-06
あぜ	5.55624E-05
あソ	5.6001E-05
あそ	0.001040923
あた	7.94906E-06
あだ	2.38202E-05
あぢ	7.15797E-05
あつ	2.38076E-05
あづ	7.94906E-06
あて	2.37176E-05
あト	7.94906E-06
あと	2.37176E-05
あド	0.000485714
あど	7.94906E-06
あな	3.96661E-05
あに	2.37176E-05
あノ	7.94906E-06
あの	7.94906E-06
あは	2.38076E-05
あば	7.17259E-05
あひ	7.94906E-06
あび	7.17328E-05
あふ	2.39664E-05
あぶ	7.94906E-06
あヘ	8.72021E-05
あへ	0.000709843
あベ	8.72418E-05
あほ	7.94906E-06
あま	2.39241E-05
あみ	2.38076E-05
あむ	2.38202E-05
あメ	8.75593E-05
あも	7.19338E-05
あや	0.000977991
あゆ	0.000103176
あよ	2.39664E-05
あら	7.1421E-05
あり	7.94906E-06
ある	7.94906E-06
あれ	0.000323526
あろ	2.39664E-05
あわ	7.94906E-06
あゐ	8.74086E-05
あを	0.000214965
いか	0.000912707
いき	3.96787E-05
いく	0.000517579
いケ	0.000467998
いけ	8.80355E-05
いコ	7.94906E-06
いこ	7.94906E-06
いさ	7.94906E-06
いざ	7.94906E-06
いし	0.000119047
いせ	0.000102765
いソ	7.94906E-06
いそ	7.10231E-05
いた	0.004923486
いだ	7.94906E-06
いち	7.94906E-06
いつ	0.00206818
いづ	7.17454E-05
いて	7.94906E-06
いで	7.94906E-06
いト	0.000531862
いと	0.000408382
いな	0.000149866
いに	7.94906E-06
いぬ	0.000214989
いね	0.000455018
いノ	3.98992E-05
いの	2.38202E-05
いは	7.94906E-06
いば	7.94906E-06
いひ	0.000182007
いび	2.38202E-05
いふ	3.96913E-05
いぶ	7.94906E-06
いヘ	7.94906E-06
いへ	7.94906E-06
いほ	0.00034304
いま	0.017775669
いみ	7.94906E-06
いむ	7.94906E-06
いメ	2.37176E-05
いも	2.39664E-05
いや	0.0023903
いゆ	7.94906E-06
いヨ	5.53572E-05
いら	7.10231E-05
いり	0.00013575
いる	7.94906E-06
いロ	0.000166534
いわ	7.94906E-06
いを	0.00010318
うう	7.94906E-06
うか	0.000229789
うき	0.000278175
うぐ	0.001993582
うケ	7.17273E-05
うけ	0.000167328
うご	7.94906E-06
うさ	2.39664E-05
うし	7.94906E-06
うす	7.94906E-06
うず	3.94861E-05
うせ	3.96913E-05
うた	8.73047E-05
うだ	7.14363E-05
うち	0.001782482
うぢ	7.94906E-06
うつ	5.58743E-05
うづ	5.57578E-05
うて	2.39241E-05
うト	2.37176E-05
うな	0.000436781
うに	3.99837E-05
うぬ	2.38076E-05
うね	7.94906E-06
うノ	0.001404233
うは	2.39241E-05
うば	2.37176E-05
うヘ	0.00010256
うへ	7.94906E-06
うベ	0.000325221
うま	2.39241E-05
うみ	7.94906E-06
うむ	7.94906E-06
うメ	0.005566412
うも	8.70995E-05
うや	7.94906E-06
うら	0.000102767
うる	0.000454261
うれ	2.39664E-05
うゑ	0.001628265
うを	2.37176E-05
エい	7.94906E-06
えい	7.94906E-06
エう	7.94906E-06
エか	5.6001E-05
えか	7.94906E-06
エが	2.37176E-05
えが	7.94906E-06
エき	7.94906E-06
エく	2.38202E-05
エけ	7.11257E-05
エコ	3.96913E-05
エこ	2.38076E-05
エざ	7.94906E-06
エし	0.000168122
えし	2.39664E-05
エじ	2.38202E-05
エす	3.99837E-05
えす	2.38076E-05
エず	0.0001038
えず	7.94906E-06
エせ	2.38202E-05
えせ	7.94906E-06
エソ	7.15389E-05
エた	5.55247E-05
えた	3.96787E-05
エだ	0.000547329
エつ	2.39664E-05
えつ	7.94906E-06
エて	0.000641675
えて	2.39664E-05
エト	7.94906E-06
エと	7.17751E-05
エな	2.39664E-05
えな	2.38202E-05
エに	2.39241E-05
エぬ	7.94906E-06
えぬ	3.98992E-05
エね	2.37176E-05
えね	7.94906E-06
エノ	7.94906E-06
エの	7.94906E-06
えノ	7.94906E-06
エは	3.94861E-05
エば	7.94906E-06
エび	2.38076E-05
エま	7.12283E-05
エみ	2.38076E-05
エむ	5.56412E-05
えむ	7.94906E-06
エメ	7.94906E-06
エも	7.94906E-06
えも	2.39241E-05
エゆ	7.94906E-06
えゆ	7.94906E-06
エヨ	2.39241E-05
エよ	7.94906E-06
えら	2.39241E-05
えり	2.37176E-05
エを	7.94906E-06
えを	7.94906E-06
おい	0.000134097
おう	2.39241E-05
おか	0.000134817
おキ	0.000294347
おき	0.000198549
おく	7.94906E-06
おけ	7.94906E-06
おコ	2.37176E-05
おさ	7.94906E-06
おし	0.000277758
おす	3.97953E-05
おソ	7.94906E-06
おた	7.94906E-06
おち	7.94906E-06
おつ	7.94906E-06
おト	2.37176E-05
おド	7.94906E-06
おな	7.94906E-06
おノ	7.94906E-06
おは	3.96913E-05
おば	7.94906E-06
おヒ	0.000420952
おひ	5.6001E-05
おび	0.000134817
おふ	7.94906E-06
おへ	2.38076E-05
おほ	7.94906E-06
おぼ	7.94906E-06
おみ	2.38076E-05
おメ	7.94906E-06
おも	2.39241E-05
おや	7.94906E-06
おゆ	3.99837E-05
おヨ	7.94906E-06
およ	7.94906E-06
おり	7.20183E-05
おる	0.000119048
おロ	0.000135919
かあ	7.10231E-05
があ	7.94906E-06
かい	0.000277916
がい	5.58743E-05
かう	3.98992E-05
がう	2.39241E-05
かエ	0.000182473
がエ	2.39241E-05
かお	5.55247E-05
がお	0.000119154
かか	7.94906E-06
かが	7.94906E-06
がか	0.002981575
かキ	7.1452E-05
かき	0.001011762
かぎ	2.38076E-05
がキ	7.18595E-05
がき	2.39241E-05
かく	3.95887E-05
かぐ	2.38202E-05
がく	7.94906E-06
かケ	0.000853523
かけ	0.000103487
かゲ	7.94906E-06
がケ	2.38076E-05
がけ	3.99414E-05
かコ	0.000198549
かこ	7.94906E-06
かゴ	7.94906E-06
かご	7.94906E-06
がコ	5.54612E-05
がこ	7.94906E-06
がゴ	7.94906E-06
かさ	0.000487465
かざ	0.002025146
がさ	0.000420269
かし	0.000591951
かじ	0.000182393
がし	0.000436517
がじ	7.94906E-06
かす	7.94906E-06
かず	0.002578582
がす	0.000103176
がず	0.000151145
かせ	7.94906E-06
かぜ	3.98992E-05
がせ	0.00663133
かソ	7.94906E-06
かそ	7.94906E-06
かゾ	3.96913E-05
かぞ	8.78894E-05
がソ	0.000261373
がそ	7.20183E-05
がゾ	7.94906E-06
かた	0.000801136
かだ	2.38202E-05
がた	7.10231E-05
かち	0.000293646
かぢ	2.37176E-05
がち	3.98375E-05
かつ	7.10231E-05
かづ	0.00329202
がつ	7.94906E-06
かて	0.000359401
がて	7.94906E-06
かト	5.56412E-05
かと	0.000119775
かド	0.000103165
かど	0.001378965
がト	7.94906E-06
がと	0.000119775
かな	0.005278444
がな	0.002810835
かに	0.002245778
がに	7.94906E-06
かぬ	7.18494E-05
がぬ	0.000166045
かね	2.37176E-05
がね	0.001442068
かノ	0.001813133
かの	7.94906E-06
がノ	2.38202E-05
がの	2.39241E-05
かは	7.94906E-06
かば	7.94906E-06
がは	3.96913E-05
かヒ	5.6001E-05
かひ	5.54598E-05
かビ	2.38202E-05
かび	5.56538E-05
がひ	2.39241E-05
かふ	0.000118419
かぶ	3.96787E-05
がふ	7.94906E-06
かヘ	3.96661E-05
かへ	0.00021411
かベ	0.000135306
かべ	2.37176E-05
がヘ	5.58E-05
がへ	0.000580823
かほ	0.000311006
がほ	0.000389718
かま	3.97827E-05
がま	7.13832E-05
かミ	7.94906E-06
かみ	7.18494E-05
がミ	0.000231526
がみ	2.38202E-05
かむ	0.000755782
がむ	8.72021E-05
かメ	2.38076E-05
かめ	2.39241E-05
がメ	3.98992E-05
かも	0.000724917
がも	0.000152105
かや	7.94906E-06
がや	0.003931121
かゆ	5.58743E-05
がゆ	0.000278197
かヨ	5.6001E-05
かよ	0.000503177
がヨ	0.000231938
がよ	2.38202E-05
から	2.39664E-05
がら	7.18494E-05
かり	0.005933422
がり	7.14336E-05
かる	0.000214253
がる	0.000564199
かれ	0.000103397
がれ	0.000119118
かわ	0.000135478
がわ	7.94906E-06
がゐ	7.12032E-05
がゑ	3.94861E-05
かを	2.39664E-05
がを	0.000198913
きあ	7.94906E-06
ぎあ	2.38076E-05
きい	0.000295267
ギい	2.38202E-05
ぎい	2.38076E-05
キう	2.37176E-05
きう	7.94906E-06
きエ	5.56412E-05
キお	7.94906E-06
きお	7.94906E-06
ギお	3.95761E-05
キか	7.94906E-06
きか	7.94906E-06
キが	7.94906E-06
きが	2.39241E-05
ギか	7.94906E-06
ぎか	7.94906E-06
ギが	7.94906E-06
キき	7.94906E-06
きキ	5.57578E-05
きき	0.001013994
きぎ	7.94906E-06
キく	7.14336E-05
きく	0.000721583
きぐ	2.37176E-05
ぎく	2.38076E-05
きケ	0.001515307
きけ	8.72921E-05
きゲ	7.94906E-06
ぎけ	2.39241E-05
キコ	2.39241E-05
きコ	7.94906E-06
きこ	8.70404E-05
キゴ	2.38202E-05
きゴ	0.000310005
きご	7.94906E-06
ギコ	2.39664E-05
ぎコ	7.94906E-06
きさ	7.94906E-06
ギさ	0.000166629
ぎさ	5.58548E-05
キし	7.14336E-05
きし	0.001837631
きじ	0.000310849
ギし	2.37176E-05
ぎし	5.55247E-05
ギじ	2.39241E-05
ぎじ	7.94906E-06
キす	3.96913E-05
きす	2.39241E-05
きず	0.000119096
ギす	7.94906E-06
ぎす	0.008339102
ギず	2.37176E-05
ぎず	7.94906E-06
きせ	3.98992E-05
きソ	0.001419261
きそ	2.39664E-05
キゾ	7.94906E-06
きゾ	2.38202E-05
キた	0.000151725
きた	0.000792797
キだ	7.94906E-06
きだ	0.000279652
ぎた	0.00013575
ぎだ	7.94906E-06
キち	7.94906E-06
きち	0.000468534
キぢ	7.94906E-06
ぎち	7.94906E-06
キつ	5.56412E-05
きつ	0.000372972
きづ	0.000119775
ギつ	3.96927E-05
ぎつ	0.000104053
ぎづ	7.94906E-06
キて	7.94906E-06
きて	0.000327729
きで	0.000152105
ギて	2.38076E-05
ぎて	2.37176E-05
ぎで	7.18494E-05
キト	3.97827E-05
キと	2.37176E-05
きト	0.003547161
きと	7.94906E-06
ギト	7.94906E-06
