3-a	cont_a	3-b	cont_b	3-c	cont_c	3-d	cont_d	3-e	cont_e	3-f	cont_f	3-g	cont_g	3-h	cont_h	3-i	cont_i
おト	0.005450172	ゆか	0.006197052	ケて	0.006005358	くや	0.005472184	かれ	0.006334205	ます	0.0056579	いた	0.006594453	ふる	0.006782923	たら	0.00563326
ねに	0.005292424	なば	0.006119686	かひ	0.005925393	びく	0.005472184	ぬれ	0.006334205	かぬ	0.005578323	しけ	0.006118319	がや	0.006474959	ちノ	0.005247948
らし	0.005292424	ほり	0.006119686	ばた	0.005845428	りつ	0.005472184	ヘノ	0.006177998	きよ	0.005578323	ノな	0.006118319	かり	0.006320976	はあ	0.005247948
りし	0.005292424	くノ	0.00581022	がき	0.005765463	はも	0.005392991	たヘ	0.005943687	ほき	0.005578323	むト	0.006118319	ちり	0.006320976	はぬ	0.005247948
つし	0.00521355	しあ	0.00581022	より	0.005765463	こエ	0.005234607	もに	0.005865584	やこ	0.005578323	をか	0.005959608	りに	0.006243985	あふ	0.005093823
さな	0.005134677	いノ	0.005732854	ノた	0.005605534	かゲ	0.005155415	がコ	0.00578748	もも	0.005260017	がな	0.005721541	どノ	0.00593602	りト	0.005093823
つノ	0.004976929	ミに	0.005655487	かま	0.005525569	かづ	0.005155415	ひし	0.00578748	あを	0.00518044	ノも	0.005642185	へノ	0.00593602	けむ	0.005016761
つみ	0.004976929	みま	0.005655487	かむ	0.005525569	ひき	0.005155415	ロは	0.00578748	かミ	0.00470298	かず	0.005324763	ヘに	0.005782038	らメ	0.004939699
ぶね	0.004898056	ずは	0.005268655	らむ	0.005525569	づく	0.00499703	かね	0.005709376	いは	0.004623403	くは	0.005324763	こに	0.005628056	して	0.004862636
らが	0.004898056	せば	0.005268655	つつ	0.005445604	れノ	0.004680261	しろ	0.005709376	たた	0.004543827	ケば	0.005245407	ギノ	0.005551064	ただ	0.004785574
コぎ	0.004819182	ある	0.005191289	ふケ	0.005445604	され	0.004442685	たも	0.005553169	かが	0.004384674	なを	0.005245407	さノ	0.005474073	トを	0.004708512
たづ	0.004819182	かる	0.005113922	ちか	0.005365639	りは	0.004442685	れな	0.005162651	つく	0.004384674	トヨ	0.00500734	るは	0.005474073	ぬト	0.004708512
いづ	0.004661435	もあ	0.005113922	まで	0.005365639	ノく	0.004363492	ロノ	0.005162651	はは	0.004305097	コゑ	0.004689918	らば	0.005012126	ゲき	0.004400262
きコ	0.004661435	くあ	0.004959189	コヨ	0.004965815	うま	0.0042843	すべ	0.004694029	をみ	0.004305097	しみ	0.004610562	るら	0.004935135	はい	0.004400262
りす	0.004661435	ヒつ	0.004959189	ぬる	0.004965815	おく	0.0042843	れド	0.004694029	ひは	0.00422552	いか	0.004451851	いロ	0.004858144	みに	0.004400262
ノり	0.004424814	ノち	0.00472709	みち	0.004965815	がノ	0.0042843	がこ	0.004381614	ふみ	0.00422552	さと	0.004451851	ノふ	0.004550179	ヨり	0.004400262
ヒわ	0.004267066	がこ	0.004417624	ぬば	0.00488585	ぐひ	0.0042843	しみ	0.004381614	らノ	0.00422552	きト	0.00429314	をり	0.004473188	トか	0.0043232
おほ	0.004188193	ずあ	0.004340258	にま	0.004725921	みし	0.0042843	れか	0.004303511	あす	0.004145944	さケ	0.004055073	ふき	0.004319205	むす	0.0043232
いソ	0.004109319	さま	0.004262891	につ	0.004565991	まだ	0.004205108	ねノ	0.004147303	がみ	0.004145944	ベき	0.003975717	ベく	0.004319205	ひて	0.004169075
エノ	0.004109319	をな	0.004185525	たむ	0.004486026	ひキ	0.004125916	がひ	0.0040692	ミノ	0.004145944	さね	0.003896362	りが	0.004242214	よは	0.004169075
ノが	0.004030445	なゲ	0.004030792	つト	0.004486026	りに	0.004125916	もへ	0.0040692	ふも	0.00398679	ふト	0.003817006	きし	0.004011241	しメ	0.00401495
ぢノ	0.003793824	ヒし	0.003876059	まき	0.004486026	づさ	0.004046723	ねつ	0.003756785	トコ	0.00374806	りぬ	0.003817006	たを	0.004011241	まで	0.003860825
ねは	0.003793824	がい	0.003798693	くよ	0.004326097	さを	0.003888339	ゾお	0.003678682	のノ	0.00374806	たく	0.00373765	ふれ	0.004011241	にお	0.003783763
ノお	0.003793824	ねば	0.003721326	ケに	0.004246132	ひす	0.003888339	らエ	0.003522474	はつ	0.00374806	なれ	0.00373765	たみ	0.00393425	れを	0.003706701
かし	0.003714951	ばか	0.003721326	ちて	0.004246132	るノ	0.003809147	エず	0.003366267	ノひ	0.003668484	けむ	0.003658295	ちら	0.00393425	かよ	0.003629638
かぢ	0.003636077	ヒに	0.003721326	くま	0.004086202	もし	0.003729954	たゆ	0.003288163	はた	0.003668484	なた	0.003499583	らつ	0.003626285	つち	0.003629638
ぎて	0.003636077	ベし	0.003721326	にも	0.004086202	づま	0.003650762	をお	0.003288163	メて	0.003668484	トな	0.003340872	とノ	0.003549294	ヒノ	0.003629638
こほ	0.003636077	いな	0.003566593	へる	0.004086202	うぐ	0.003492378	ひに	0.00321006	たぎ	0.003588907	きわ	0.003261516	きぬ	0.003395311	もに	0.003629638
つな	0.003557203	つね	0.003334494	あケ	0.004006237	ゲに	0.003492378	ろた	0.00321006	ほノ	0.00350933	ぬひ	0.003261516	りソ	0.003395311	いひ	0.003475513
ヘに	0.003557203	てし	0.003257127	かト	0.004006237	ゆみ	0.003492378	ても	0.003131956	まが	0.00350933	しコ	0.003182161	ロづ	0.003395311	くト	0.003475513
くる	0.003478329	るベ	0.003179761	きく	0.003926272	かば	0.003333993	ひつ	0.003131956	づノ	0.003429754	しも	0.003182161	かざ	0.00331832	てし	0.003321389
にノ	0.003478329	ヒむ	0.003102394	てに	0.003926272	こゆ	0.003333993	もコ	0.003053852	みコ	0.003429754	にせ	0.003182161	ケぬ	0.00331832	さり	0.003244326
みし	0.003478329	もに	0.003025028	がま	0.003766343	はふ	0.003333993	ロを	0.003053852	くみ	0.003350177	りて	0.003182161	ぜノ	0.003241329	しト	0.003244326
つぎ	0.003399456	くほ	0.002947662	もち	0.003766343	びき	0.003333993	エぬ	0.002975749	しが	0.003350177	ケノ	0.003102805	いや	0.003087346	つせ	0.003244326
ゆか	0.003399456	ヨソ	0.002947662	らは	0.003766343	すノ	0.003254801	しお	0.002975749	たし	0.0032706	さく	0.00302345	ぐれ	0.003087346	かメ	0.003090202
