sound	cont
がじ	3.95642E-05
かす	7.82198E-06
かず	7.0001E-05
がす	3.92229E-05
がず	3.92229E-05
かせ	2.32345E-05
かぜ	2.32345E-05
がせ	3.86469E-05
かソ	2.32345E-05
かそ	2.35224E-05
かゾ	7.82198E-06
かぞ	7.13065E-05
がソ	3.91761E-05
がそ	0.000210984
がゾ	3.90578E-05
かた	7.82198E-06
かだ	2.36931E-05
がた	0.000101175
かち	7.82198E-06
かぢ	7.82198E-06
がち	6.94719E-05
かつ	0.000302799
かづ	0.000164593
がつ	2.32345E-05
かて	8.62405E-05
がて	7.82198E-06
かト	7.82198E-06
かと	5.48531E-05
かド	5.48531E-05
かど	5.44982E-05
がト	0.000413908
がと	7.82198E-06
かな	7.82198E-06
がな	7.82198E-06
かに	0.000100589
がに	7.82198E-06
かぬ	0.000101884
がぬ	7.82198E-06
かね	0.001844773
がね	2.32345E-05
かノ	7.82198E-06
かの	2.36931E-05
がノ	7.82198E-06
がの	7.82198E-06
かは	7.82198E-06
かば	2.33807E-05
がは	6.94719E-05
かヒ	7.82198E-06
かひ	5.49523E-05
かビ	2.3499E-05
かび	7.82198E-06
がひ	0.000308573
かふ	0.000493219
かぶ	3.91761E-05
がふ	7.82198E-06
かヘ	2.3499E-05
かへ	0.00192169
かベ	3.89349E-05
かべ	7.02231E-05
がヘ	0.000101175
がへ	2.36931E-05
かほ	3.92229E-05
がほ	0.000305431
かま	0.000100443
がま	0.000102736
かミ	7.82198E-06
かみ	3.92229E-05
がミ	0.000386594
がみ	0.000293502
かむ	8.56158E-05
がむ	0.000117561
かメ	0.002053382
かめ	3.91056E-05
がメ	0.000336988
かも	0.000272152
がも	7.82198E-06
かや	7.82198E-06
がや	7.82198E-06
かゆ	7.82198E-06
がゆ	7.82198E-06
かヨ	7.82198E-06
かよ	0.000842142
がヨ	7.82198E-06
がよ	0.000177359
から	0.000353526
がら	0.000116733
かり	5.40594E-05
がり	5.46165E-05
かる	2.33807E-05
がる	2.35224E-05
かれ	2.36931E-05
がれ	7.82198E-06
かわ	0.000101595
がわ	7.82198E-06
がゐ	7.82198E-06
がゑ	7.03694E-05
かを	2.35224E-05
がを	7.82198E-06
きあ	5.49233E-05
ぎあ	2.33807E-05
きい	7.82198E-06
ギい	7.82198E-06
ぎい	2.32345E-05
キう	7.82198E-06
きう	5.48531E-05
きエ	7.82198E-06
キお	3.95642E-05
きお	7.82198E-06
ギお	7.82198E-06
キか	5.49233E-05
きか	7.82198E-06
キが	7.05302E-05
きが	7.06237E-05
ギか	0.000117655
ぎか	3.89115E-05
ギが	7.82198E-06
キき	7.82198E-06
きキ	7.82198E-06
きき	0.000133425
きぎ	7.82198E-06
キく	5.54354E-05
きく	0.000132292
きぐ	5.52413E-05
ぎく	3.91761E-05
きケ	7.82198E-06
きけ	0.000196917
きゲ	2.36931E-05
ぎけ	2.3499E-05
キコ	2.36931E-05
きコ	5.54354E-05
きこ	7.82198E-06
キゴ	0.000133309
きゴ	7.82198E-06
きご	2.32345E-05
ギコ	2.35224E-05
ぎコ	2.33807E-05
きさ	7.82198E-06
ギさ	2.3499E-05
ぎさ	7.06003E-05
キし	0.000182404
きし	0.000414552
きじ	2.32345E-05
ギし	7.82198E-06
ぎし	3.95642E-05
ギじ	7.82198E-06
ぎじ	7.82198E-06
キす	0.000242628
きす	7.82198E-06
きず	2.33807E-05
ギす	3.86469E-05
ぎす	2.35224E-05
ギず	7.82198E-06
ぎず	5.40594E-05
きせ	0.000576281
きソ	8.56158E-05
きそ	7.82198E-06
キゾ	7.82198E-06
きゾ	0.000244159
