uta	att
4	0.13625731
6	0.111111111
7	0.173448773
8	0.104678363
9	0.114478114
10	0.091520468
11	0.133625731
12	0.102046784
14	0.083625731
15	0.09033189
18	0.08625731
19	0.10994152
20	0.133625731
21	0.103318903
22	0.096783626
23	0.106074074
24	0.099415205
27	0.074747475
28	0.123099415
30	0.092929293
31	0.085137085
32	0.113708514
33	0.094152047
34	0.083625731
35	0.09033189
37	0.095526696
39	0.083625731
40	0.074747475
41	0.112573099
42	0.094152047
43	0.096783626
44	0.08625731
46	0.126695527
47	0.124098124
48	0.10994152
49	0.123099415
51	0.135407407
53	0.08625731
54	0.15994152
55	0.104678363
56	0.152046784
57	0.115204678
58	0.123099415
59	0.154678363
60	0.095526696
61	0.096783626
62	0.08625731
63	0.08625731
64	0.15007215
65	0.087734488
66	0.117836257
67	0.095526696
68	0.085137085
69	0.102046784
70	0.091520468
71	0.083625731
72	0.088888889
73	0.128362573
74	0.115204678
75	0.13968254
76	0.113708514
77	0.077344877
78	0.084045584
80	0.087734488
81	0.125730994
82	0.152046784
83	0.07994228
84	0.131890332
85	0.088888889
86	0.085137085
87	0.108513709
88	0.167836257
89	0.094152047
90	0.088888889
91	0.076353276
92	0.10994152
93	0.091737892
94	0.083625731
95	0.106074074
96	0.07994228
97	0.082539683
98	0.080994152
99	0.078362573
100	0.129292929
101	0.074747475
102	0.086609687
103	0.13625731
104	0.154678363
105	0.128362573
106	0.113708514
107	0.088888889
108	0.08625731
109	0.102046784
110	0.120467836
111	0.094152047
112	0.083625731
113	0.10994152
114	0.134487734
115	0.092929293
116	0.102046784
117	0.107309942
118	0.094152047
119	0.088888889
120	0.163532764
121	0.13625731
122	0.075730994
123	0.102046784
124	0.098124098
125	0.087734488
126	0.115204678
127	0.129292929
128	0.126695527
129	0.108740741
130	0.102046784
132	0.10994152
133	0.111111111
134	0.102046784
136	0.125730994
137	0.129292929
139	0.092929293
140	0.074747475
141	0.102046784
142	0.098124098
143	0.075730994
144	0.074747475
145	0.102160494
146	0.107309942
147	0.134487734
148	0.085137085
149	0.073099415
151	0.08625731
152	0.102046784
154	0.082539683
156	0.093265993
157	0.087734488
158	0.107309942
160	0.103599374
161	0.115204678
163	0.111111111
164	0.088888889
165	0.084045584
166	0.11994302
168	0.104678363
169	0.102046784
170	0.094152047
171	0.099415205
172	0.115204678
173	0.087734488
174	0.075730994
175	0.09033189
176	0.102046784
177	0.091520468
178	0.088888889
179	0.078362573
180	0.117836257
181	0.142279942
182	0.099415205
183	0.10994152
184	0.123099415
185	0.10994152
186	0.102046784
187	0.104678363
188	0.091520468
189	0.098124098
190	0.104678363
191	0.107309942
192	0.102046784
193	0.077344877
195	0.100721501
197	0.087734488
198	0.075730994
200	0.102046784
201	0.107309942
202	0.104678363
203	0.204617605
205	0.107309942
206	0.096783626
208	0.125730994
209	0.15007215
211	0.128362573
212	0.09033189
214	0.115204678
215	0.111111111
216	0.144152047
218	0.107309942
219	0.087407407
221	0.131890332
222	0.099415205
223	0.095526696
224	0.100721501
225	0.100721501
226	0.086609687
227	0.137891738
228	0.117836257
229	0.113708514
231	0.244152047
232	0.101994302
233	0.215204678
234	0.13968254
235	0.09033189
235.1	0.09033189
236	0.13019943
237	0.073789174
238	0.094152047
240	0.094152047
241	0.080994152
242	0.086609687
243	0.082539683
244	0.098124098
245	0.120467836
246	0.103318903
247	0.088888889
248	0.080994152
249	0.093055556
250	0.130994152
251	0.148740741
252	0.083625731
253	0.125730994
254	0.103318903
255	0.083625731
256	0.089173789
256.1	0.094301994
258	0.126695527
259	0.126695527
262	0.173099415
263	0.101994302
264	0.130994152
265	0.134487734
266	0.089173789
267	0.10994152
268	0.120467836
269	0.147474747
270	0.112573099
271	0.102046784
272	0.096783626
273	0.077344877
274	0.123099415
275	0.094152047
276	0.09033189
276.1	0.087734488
277	0.146783626
278	0.137085137
279	0.138888889
280	0.123099415
281	0.130994152
282	0.099415205
283	0.091520468
284	0.117836257
285	0.081481481
286	0.104678363
287	0.141520468
288	0.103318903
289	0.125730994
290	0.102046784
291	0.123099415
292	0.123099415
293	0.118318318
294	0.095526696
295	0.080994152
296	0.098124098
297	0.077344877
298	0.133625731
299	0.241520468
300	0.094152047
301	0.100721501
302	0.091737892
303	0.078362573
304	0.129292929
305	0.085137085
306	0.074747475
307	0.100721501
308	0.146783626
309	0.115204678
310	0.117836257
311	0.075730994
312	0.111111111
313	0.098124098
314	0.088888889
316	0.120467836
318	0.173789174
320	0.194152047
321	0.146783626
323	0.096783626
325	0.085137085
326	0.073099415
327	0.134487734
328	0.099415205
329	0.092929293
330	0.133625731
331	0.094152047
332	0.104558405
333	0.13625731
334	0.107309942
335	0.125730994
336	0.084740741
337	0.088888889
338	0.103318903
339	0.087734488
340	0.111111111
341	0.103318903
342	0.098124098
343	0.107309942
344	0.083625731
345	0.098124098
346	0.091520468
347	0.124098124
348	0.10994152
349	0.132763533
350	0.133625731
351	0.094152047
352	0.172740741
353	0.167836257
354	0.16046176
355	0.112573099
356	0.108513709
357	0.087734488
358	0.077344877
359	0.074747475
360	0.134487734
361	0.18625731
362	0.096783626
363	0.091520468
364	0.129292929
365	0.10994152
367	0.105916306
368	0.078362573
369	0.111111111
370	0.112573099
371	0.07994228
373	0.091520468
374	0.107309942
375	0.08625731
376	0.113708514
377	0.098124098
378	0.134487734
380	0.07994228
381	0.100721501
383	0.125730994
384	0.093108298
385	0.123099415
386	0.113708514
387	0.105916306
389	0.094152047
390	0.105916306
391	0.112573099
392	0.130994152
393	0.088888889
394	0.094152047
395	0.155266955
396	0.103318903
397	0.088888889
398	0.11994302
399	0.111111111
400	0.114814815
401	0.096783626
402	0.09033189
403	0.087734488
404	0.128362573
405	0.150712251
406	0.083625731
407	0.168253968
408	0.107309942
409	0.104678363
410	0.094301994
411	0.107309942
412	0.115204678
413	0.112250712
414	0.102046784
415	0.076353276
416	0.102046784
417	0.091520468
418	0.096783626
419	0.096783626
421	0.128362573
422	0.09033189
424	0.098124098
425	0.142279942
426	0.080994152
427	0.082539683
428	0.09033189
429	0.115204678
430	0.125730994
432	0.112573099
433	0.116305916
434	0.113708514
435	0.107309942
436	0.074747475
437	0.077344877
438	0.085137085
439	0.120467836
440	0.094152047
441	0.084045584
442	0.096783626
444	0.165656566
445	0.083625731
446	0.092929293
447	0.082539683
448	0.113708514
449	0.104678363
450	0.125730994
451	0.112573099
452	0.146783626
453	0.128362573
454	0.128362573
455	0.149415205
456	0.094152047
457	0.080994152
458	0.085137085
459	0.10968661
461	0.113708514
462	0.162573099
463	0.085137085
464	0.183838384
465	0.165204678
467	0.116305916
468	0.105916306
469	0.117836257
470	0.126695527
471	0.094152047
472	0.078362573
473	0.130994152
474	0.112250712
476	0.147474747
477	0.103318903
479	0.155266955
480	0.11994302
482	0.084045584
483	0.102046784
484	0.08625731
486	0.09033189
487	0.07994228
488	0.183625731
489	0.123099415
490	0.098124098
491	0.09033189
492	0.082539683
493	0.09033189
494	0.126695527
495	0.111111111
496	0.100721501
497	0.078362573
498	0.096783626
499	0.084045584
500	0.128362573
501	0.102046784
502	0.113708514
503	0.122507123
504	0.098124098
505	0.105916306
506	0.100721501
507	0.117836257
508	0.077344877
510	0.10994152
511	0.099415205
512	0.137085137
513	0.100721501
514	0.134487734
515	0.099415205
516	0.077344877
517	0.086609687
518	0.138888889
519	0.118903319
520	0.102046784
521	0.120467836
522	0.089173789
523	0.105916306
524	0.125730994
525	0.07994228
526	0.075730994
527	0.108298172
528	0.087734488
530	0.083625731
531	0.112250712
532	0.099415205
533	0.080994152
535	0.126695527
536	0.085137085
537	0.088888889
538	0.09033189
539	0.081481481
540	0.124098124
541	0.09033189
542	0.088888889
544	0.082539683
545	0.08625731
547	0.088888889
548	0.122074074
549	0.100721501
550	0.071225071
551	0.08625731
552	0.08625731
553	0.117836257
554	0.107309942
555	0.10994152
556	0.104678363
557	0.104678363
558	0.082539683
559	0.07994228
560	0.091520468
561	0.099415205
562	0.075730994
563	0.077344877
564	0.08625731
565	0.087734488
566	0.104678363
567	0.092740741
568	0.08625731
569	0.095526696
570	0.102046784
571	0.082539683
572	0.117836257
573	0.113708514
574	0.108513709
575	0.10994152
576	0.096783626
577	0.099415205
578	0.115204678
579	0.078362573
580	0.107309942
581	0.09033189
582	0.103318903
583	0.080994152
584	0.113708514
585	0.085513361
586	0.085137085
587	0.104678363
588	0.091520468
589	0.099415205
590	0.107309942
591	0.08625731
592	0.07994228
593	0.091520468
594	0.167836257
595	0.095526696
596	0.080994152
597	0.075730994
598	0.10994152
599	0.099415205
600	0.07994228
601	0.077344877
602	0.125730994
603	0.08625731
604	0.07994228
605	0.08625731
606	0.129292929
607	0.082539683
608	0.077344877
609	0.085137085
610	0.095526696
611	0.078917379
612	0.09033189
613	0.080994152
614	0.082539683
615	0.092929293
616	0.094152047
617	0.08625731
618	0.099415205
620	0.077344877
621	0.092929293
622	0.107309942
623	0.126695527
624	0.176353276
625	0.123099415
626	0.107309942
627	0.112250712
628	0.085137085
629	0.075730994
630	0.08625731
631	0.094152047
632	0.076353276
633	0.102046784
634	0.080994152
635	0.087734488
636	0.083625731
637	0.10994152
638	0.094152047
639	0.099415205
640	0.08625731
641	0.101994302
642	0.130994152
643	0.092929293
644	0.118903319
645	0.08625731
646	0.083625731
647	0.07994228
648	0.091520468
649	0.098124098
650	0.138888889
651	0.167836257
652	0.108513709
653	0.120467836
654	0.087734488
655	0.122222222
656	0.098124098
657	0.087734488
658	0.075730994
659	0.098171589
660	0.096866097
661	0.087734488
662	0.104678363
663	0.107309942
664	0.088888889
665	0.116305916
666	0.082539683
667	0.078917379
668	0.113708514
669	0.096866097
670	0.104678363
671	0.098124098
672	0.073099415
673	0.074747475
674	0.072855134
675	0.116305916
676	0.08625731
677	0.10994152
678	0.103318903
679	0.099430199
680	0.075730994
681	0.088888889
682	0.07994228
683	0.08625731
684	0.115893108
685	0.102046784
686	0.104678363
687	0.099415205
688	0.094152047
689	0.08625731
690	0.083625731
691	0.072150072
692	0.087734488
693	0.144152047
694	0.083625731
695	0.07994228
696	0.080994152
697	0.10994152
698	0.146783626
699	0.074747475
700	0.115204678
701	0.09033189
702	0.092929293
703	0.096783626
704	0.08625731
705	0.083625731
706	0.099415205
707	0.115204678
708	0.07994228
709	0.107309942
710	0.091520468
711	0.093108298
712	0.13968254
713	0.107309942
714	0.07994228
715	0.088888889
716	0.094152047
717	0.082539683
718	0.08625731
719	0.091520468
720	0.087734488
721	0.123099415
722	0.087734488
724	0.117836257
725	0.101994302
726	0.08045007
727	0.111111111
728	0.113708514
729	0.094152047
730	0.078362573
731	0.104678363
732	0.091520468
733	0.083625731
734	0.075730994
735	0.154678363
736	0.108513709
737	0.095526696
738	0.105916306
739	0.098124098
740	0.073099415
741	0.155266955
742	0.107309942
743	0.102046784
744	0.092929293
745	0.104678363
746	0.118903319
747	0.105916306
748	0.077344877
749	0.095526696
750	0.08625731
751	0.078362573
752	0.082539683
753	0.107309942
754	0.103318903
755	0.10994152
756	0.104678363
