sound	cont
あエ	7.95348E-06
あか	7.95348E-06
あが	0.000277784
あキ	2.39349E-05
あき	7.95348E-06
あく	7.95348E-06
あケ	0.000695695
あけ	7.95348E-06
あゲ	0.000117991
あご	2.41655E-05
あさ	0.003476696
あざ	7.95348E-06
あし	0.014277133
あじ	3.94564E-05
あす	0.000215569
あず	7.95348E-06
あせ	7.15521E-05
あぜ	0.000104073
あソ	2.41655E-05
あそ	0.000119606
あた	0.000721644
あだ	7.20008E-05
あぢ	0.000502389
あつ	7.95348E-06
あづ	0.001894067
あて	7.95348E-06
あト	7.95348E-06
あと	0.000151994
あド	8.75748E-05
あど	7.95348E-06
あな	0.000377196
あに	7.95348E-06
あノ	0.00010236
あの	5.57549E-05
あは	7.95348E-06
あば	7.95348E-06
あひ	0.000606649
あび	0.00013494
あふ	2.37919E-05
あぶ	7.95348E-06
あヘ	0.000118407
あへ	0.000227506
あベ	0.000166508
あほ	7.13752E-05
あま	7.95348E-06
あみ	2.41655E-05
あむ	7.95348E-06
あメ	0.000195935
あも	7.95348E-06
あや	7.95348E-06
あゆ	0.000119538
あよ	7.95348E-06
あら	7.95348E-06
あり	3.94564E-05
ある	7.95348E-06
あれ	7.95348E-06
あろ	7.95348E-06
あわ	2.3584E-05
あゐ	7.95348E-06
あを	0.001742843
いか	7.28017E-05
いき	0.000359546
いく	3.9796E-05
いケ	0.000531539
いけ	7.95348E-06
いコ	2.3584E-05
いこ	0.000119339
いさ	0.000242411
いざ	2.3584E-05
いし	0.00029585
いせ	3.96983E-05
いソ	2.37919E-05
いそ	3.96304E-05
いた	0.000720571
いだ	3.9796E-05
いち	0.000468049
いつ	0.001463312
いづ	0.001287891
いて	2.3584E-05
いで	0.004195336
いト	7.28017E-05
いと	7.95348E-06
いな	0.000487397
いに	7.95348E-06
いぬ	7.95348E-06
いね	2.39349E-05
いノ	7.95348E-06
いの	2.38259E-05
いは	0.001637572
いば	7.95348E-06
いひ	2.37919E-05
いび	7.95348E-06
いふ	7.95348E-06
いぶ	4.03776E-05
いヘ	3.94564E-05
いへ	7.95348E-06
いほ	7.18793E-05
いま	0.000314624
いみ	2.39349E-05
いむ	2.39349E-05
いメ	7.95348E-06
いも	0.000198354
