sound	cont
あエ	7.82344E-06
あか	7.82344E-06
あが	7.82344E-06
あキ	2.35982E-05
あき	7.82344E-06
あく	0.000228839
あケ	7.82344E-06
あけ	7.82344E-06
あゲ	2.33436E-05
あご	0.000570942
あさ	0.000116646
あざ	7.82344E-06
あし	0.000101307
あじ	7.09224E-05
あす	7.82344E-06
あず	7.82344E-06
あせ	7.05414E-05
あぜ	8.5424E-05
あソ	0.000117355
あそ	7.82344E-06
あた	7.82344E-06
あだ	5.43838E-05
あぢ	7.82344E-06
あつ	3.91183E-05
あづ	2.33436E-05
あて	7.82344E-06
あト	3.91824E-05
あと	5.43838E-05
あド	7.82344E-06
あど	0.000243383
あな	3.92212E-05
あに	0.000102132
あノ	2.3404E-05
あの	2.3404E-05
あは	0.000132984
あば	7.82344E-06
あひ	7.82344E-06
あび	3.91607E-05
あふ	2.36406E-05
あぶ	7.82344E-06
あヘ	0.000931662
あへ	0.000148995
あベ	8.5424E-05
あほ	7.82344E-06
あま	0.013408964
あみ	0.000133888
あむ	7.82344E-06
あメ	7.82344E-06
あも	3.89458E-05
あや	0.000178697
あゆ	0.000225699
あよ	3.94153E-05
あら	3.93729E-05
あり	0.000133003
ある	7.82344E-06
あれ	7.82344E-06
あろ	3.94577E-05
あわ	7.82344E-06
あゐ	5.52749E-05
あを	0.000271726
いか	0.000101307
いき	7.82344E-06
いく	0.000118416
いケ	0.00016574
いけ	7.82344E-06
いコ	2.36406E-05
いこ	3.88637E-05
いさ	3.89071E-05
いざ	0.002619845
いし	2.33436E-05
いせ	0.000319793
いソ	0.004012881
いそ	0.001086772
いた	0.000753809
いだ	2.36406E-05
いち	3.89846E-05
いつ	8.66971E-05
いづ	0.004001827
いて	2.36406E-05
いで	0.000149563
いト	7.82344E-06
いと	0.000459479
いな	0.000178545
いに	7.09224E-05
いぬ	7.82344E-06
いね	6.99907E-05
いノ	7.82344E-06
いの	2.33436E-05
いは	5.46818E-05
いば	7.82344E-06
いひ	7.82344E-06
いび	5.50383E-05
いふ	2.33436E-05
いぶ	7.82344E-06
いヘ	7.82344E-06
いへ	0.001301011
いほ	0.001591279
いま	7.82344E-06
いみ	2.33653E-05
いむ	8.55326E-05
いメ	7.82344E-06
いも	7.82344E-06
いや	2.3404E-05
いゆ	0.000320899
いヨ	7.82344E-06
いら	0.00013239
いり	0.000617343
いる	7.06189E-05
いロ	7.82344E-06
いわ	7.82344E-06
いを	7.82344E-06
