uta	att
4	0.099415205
6	0.113708514
7	0.09033189
8	0.144152047
9	0.141750842
10	0.138888889
11	0.178362573
12	0.120467836
14	0.120467836
15	0.09033189
18	0.096783626
19	0.144152047
20	0.099415205
21	0.100721501
22	0.088888889
23	0.087407407
24	0.099415205
27	0.09033189
28	0.102046784
30	0.092929293
31	0.07994228
32	0.092929293
33	0.099415205
34	0.088888889
35	0.082539683
37	0.087734488
39	0.102046784
40	0.087734488
41	0.094152047
42	0.080994152
43	0.115204678
44	0.078362573
46	0.09033189
47	0.100721501
48	0.094152047
49	0.099415205
51	0.103407407
53	0.080994152
54	0.096783626
55	0.10994152
56	0.104678363
57	0.088888889
58	0.120467836
59	0.102046784
60	0.095526696
61	0.125730994
62	0.115204678
63	0.10994152
64	0.082539683
65	0.07994228
66	0.099415205
67	0.082539683
68	0.108513709
69	0.096783626
70	0.141520468
71	0.128362573
72	0.073099415
73	0.102046784
74	0.091520468
75	0.105916306
76	0.111111111
77	0.116305916
78	0.096866097
80	0.077344877
81	0.073099415
82	0.104678363
83	0.082539683
84	0.131890332
85	0.117836257
86	0.077344877
87	0.085137085
88	0.088888889
89	0.08625731
90	0.115204678
91	0.073789174
92	0.083625731
93	0.117378917
94	0.10994152
95	0.108740741
96	0.09033189
97	0.126695527
98	0.08625731
99	0.091520468
100	0.103318903
101	0.111111111
102	0.14045584
103	0.125730994
104	0.130994152
105	0.128362573
106	0.098124098
107	0.094152047
108	0.088888889
109	0.112573099
110	0.099415205
111	0.107309942
112	0.157309942
113	0.08625731
114	0.118903319
115	0.100721501
116	0.104678363
117	0.099415205
118	0.104678363
119	0.08625731
120	0.122507123
121	0.120467836
122	0.094152047
123	0.10994152
124	0.113708514
125	0.137085137
126	0.10994152
127	0.098124098
128	0.131890332
129	0.095407407
130	0.104678363
132	0.08625731
133	0.095526696
134	0.094152047
136	0.083625731
137	0.103318903
139	0.09033189
140	0.09033189
141	0.096783626
142	0.087734488
143	0.083625731
144	0.100721501
145	0.079938272
146	0.091520468
147	0.105916306
148	0.082539683
149	0.091520468
151	0.075730994
152	0.08625731
154	0.087734488
156	0.102356902
157	0.082539683
158	0.112573099
160	0.092331768
161	0.099415205
163	0.108513709
164	0.115204678
165	0.076353276
166	0.132763533
168	0.128362573
169	0.088888889
170	0.115204678
171	0.096783626
172	0.120467836
173	0.105916306
174	0.08625731
175	0.087734488
176	0.083625731
177	0.149415205
178	0.10994152
179	0.157309942
180	0.123099415
181	0.095526696
182	0.112573099
183	0.115204678
184	0.107309942
185	0.096783626
186	0.08625731
187	0.112573099
188	0.080994152
189	0.105916306
190	0.080994152
191	0.08625731
192	0.123099415
193	0.09033189
195	0.09033189
197	0.087734488
198	0.083625731
200	0.08625731
201	0.10994152
202	0.094152047
203	0.095526696
205	0.080994152
206	0.096783626
208	0.08625731
209	0.111111111
211	0.099415205
212	0.103318903
214	0.099415205
215	0.111111111
216	0.102046784
218	0.091520468
219	0.100740741
221	0.07994228
222	0.078362573
223	0.087734488
224	0.082539683
225	0.098124098
226	0.081481481
227	0.10968661
228	0.10994152
229	0.098124098
231	0.120467836
232	0.089173789
233	0.107309942
234	0.095526696
235	0.085137085
235.1	0.087734488
236	0.081481481
237	0.078917379
238	0.10994152
240	0.096783626
241	0.088888889
242	0.10968661
