1-a	cont_a	1-b	cont_b	1-c	cont_c	1-d	cont_d	1-e	cont_e	1-f	cont_f	1-g	cont_g	1-h	cont_h	1-i	cont_i
おも	0.050052291	なみ	0.025157183	れば	0.025428538	ひト	0.048573583	やま	0.060817452	かも	0.05147759	きみ	0.053340101	はな	0.041081553	こヒ	0.041263012
コロ	0.037502421	おほ	0.023575468	あき	0.02169705	トも	0.031829544	まに	0.016708618	まノ	0.031487821	たま	0.029914497	わが	0.038782064	あら	0.035424269
もノ	0.035410776	しら	0.022389181	ゆき	0.020064524	にし	0.027782407	あし	0.014471213	るか	0.022437335	もが	0.022730645	ノは	0.025936645	つつ	0.02743441
ココ	0.024487741	みノ	0.022151924	にけ	0.018820694	コト	0.021989446	キノ	0.014471213	わた	0.020863338	しき	0.020544255	なく	0.018086667	いも	0.026819806
なし	0.021234071	ノう	0.021756495	しか	0.01812104	あれ	0.020799111	かむ	0.01367214	かは	0.019761539	まく	0.019138719	さき	0.01729374	らむ	0.022287097
なく	0.017438122	しま	0.016536834	かり	0.017887822	トノ	0.018894576	ノや	0.012233809	つキ	0.016298745	まつ	0.018670207	なき	0.015945764	あは	0.019060423
ノを	0.017360654	うら	0.015666891	きノ	0.017265907	われ	0.018656509	トり	0.011354828	がは	0.014646047	みが	0.017577012	らし	0.015787178	まし	0.018138516
くも	0.016353565	おき	0.014164261	あさ	0.016488514	には	0.016990041	かす	0.011195014	たる	0.014646047	きて	0.016561902	トき	0.015232129	しく	0.015603273
もふ	0.016043692	らに	0.014085175	しも	0.015711121	あり	0.01683133	つか	0.011035199	ノか	0.013622949	くら	0.015078281	たち	0.015073544	かく	0.015065494
もひ	0.014881667	あま	0.012740717	をし	0.014778249	まさ	0.013498393	りノ	0.010875385	かた	0.013544249	みに	0.015078281	いま	0.014835666	むト	0.015065494
ふる	0.013642174	する	0.012108031	きは	0.014700509	メや	0.012863548	しひ	0.010475848	つく	0.01315075	なが	0.01375083	なか	0.013804861	もあ	0.014527715
あが	0.013564705	きつ	0.012028945	ける	0.014700509	して	0.012704837	いで	0.010395941	ヨし	0.012442451	また	0.011798696	トト	0.013011934	にあ	0.014066761
もは	0.013022427	みや	0.011554431	みち	0.014156334	れは	0.011831925	つま	0.010316033	はノ	0.011655452	みを	0.010783586	ほト	0.012456885	あひ	0.013682634
ドも	0.012015339	かし	0.011396259	きに	0.014078594	ゴト	0.011752569	まか	0.010156219	れド	0.011419352	がも	0.01054933	なノ	0.011663957	トし	0.012760727
くに	0.011627997	らな	0.011317173	けり	0.013845376	やも	0.011514502	すみ	0.009676775	たり	0.011261953	くる	0.010471245	メノ	0.011663957	らず	0.012607076
こふ	0.01147306	らノ	0.011159002	りに	0.012990244	トに	0.010244812	もり	0.009676775	あか	0.010868453	いへ	0.010158904	がせ	0.011346787	にも	0.012299773
もな	0.011240655	ふね	0.010289058	かぜ	0.0111245	いは	0.010165456	ゆか	0.009676775	しの	0.010711053	まで	0.010002733	なり	0.010950323	コソ	0.011070564
コノ	0.010465972	まを	0.009656372	ふり	0.010580324	トい	0.009848034	なび	0.009197331	みれ	0.010553654	がた	0.009924648	はる	0.01087103	わぎ	0.011070564
もほ	0.010311035	しに	0.009102772	もみ	0.010502585	もト	0.009609967	まノ	0.008717887	むか	0.010238854	たび	0.008831453	ぎす	0.01055386	かに	0.010993739
