1-a	cont_a	1-b	cont_b	1-c	cont_c	1-d	cont_d	1-e	cont_e	1-f	cont_f	1-g	cont_g	1-h	cont_h	1-i	cont_i
ロも	0.010233567	ノみ	0.008786429	はギ	0.010347106	りて	0.009451256	みた	0.00863798	ほし	0.009609255	るし	0.008597197	トぎ	0.010474567	ノち	0.010840088
わす	0.009846225	はら	0.008628257	のノ	0.009958409	しゲ	0.009213189	ゆく	0.008558073	たノ	0.009373155	から	0.008441026	ばな	0.009998811	もに	0.010609611
すら	0.00961382	はま	0.008549172	ヘに	0.00988067	けむ	0.008895766	トほ	0.008478165	つる	0.009137056	あが	0.008050599	うメ	0.009364469	はむ	0.010532785
すれ	0.008916605	しノ	0.008470086	きか	0.009647452	トは	0.008737055	くも	0.008158536	ぬか	0.008743556	かへ	0.007972514	きな	0.009205884	ぎも	0.010225483
ノコ	0.008761669	みな	0.008232829	した	0.009414234	うつ	0.007626076	すが	0.008078629	かみ	0.008428757	がく	0.007894429	こが	0.008888713	メに	0.010148657
もヘ	0.008761669	ソノ	0.007916485	さむ	0.009336495	ノし	0.007229298	たな	0.007599185	ひさ	0.007720458	そで	0.007113575	せこ	0.00880942	なむ	0.00976453
らく	0.008606732	くに	0.007679228	かノ	0.009181016	ひて	0.007149942	ノま	0.007119741	みし	0.007563058	きた	0.00703549	やど	0.00880942	ノミ	0.00976453
ひも	0.008141922	みゆ	0.007441971	くさ	0.009181016	ノな	0.006911876	まト	0.007039834	けふ	0.007169559	ほり	0.00703549	ちば	0.0079372	しな	0.009610879
いも	0.008064454	つし	0.007125628	ノあ	0.007859447	なに	0.006753164	かな	0.006800112	つら	0.00646126	ヘノ	0.006957404	づら	0.00706498	ある	0.009226751
しみ	0.007909517	たか	0.00688837	きぬ	0.007781708	いふ	0.006673809	へに	0.006640297	ひノ	0.006067761	はや	0.006645063	いた	0.006906395	にか	0.008919448
ひに	0.007909517	をト	0.006809285	つゆ	0.00754849	しあ	0.006594453	ねノ	0.006480483	あま	0.005989061	へり	0.006645063	くな	0.006906395	にみ	0.008688972
ほゆ	0.007909517	うみ	0.006730199	コノ	0.007159793	りけ	0.006594453	さか	0.006400575	ばた	0.005989061	みは	0.006254636	さと	0.00674781	がこ	0.008612146
うち	0.007832049	ほき	0.006730199	りし	0.005915964	トな	0.006356386	はに	0.006240761	ヨひ	0.005989061	へる	0.006176551	なに	0.006668517	だに	0.008612146
ゆる	0.007832049	まも	0.006651113	ゆふ	0.005760485	しる	0.006277031	みづ	0.005921131	くれ	0.005831661	まき	0.006176551	どノ	0.006509931	もこ	0.008612146
きも	0.007212302	なは	0.006492942	うヘ	0.005682746	トを	0.006277031	くや	0.005841224	ケて	0.005752961	ちノ	0.006098466	がや	0.006351346	みて	0.008381669
ロに	0.007212302	ほみ	0.006413856	ギノ	0.005682746	はし	0.006118319	びく	0.005601502	みか	0.005752961	まち	0.006098466	るは	0.006351346	しを	0.007920716
ます	0.006902429	まな	0.006413856	さノ	0.005605006	たれ	0.006038964	りは	0.005601502	かぬ	0.005595561	きま	0.00602038	さく	0.006113468	みエ	0.00784389
ふら	0.00682496	しほ	0.00633477	トき	0.005605006	るト	0.006038964	こエ	0.005521595	なば	0.005595561	でに	0.005942295	まだ	0.005954882	いメ	0.00715246
がコ	0.006437619	たづ	0.006176599	まは	0.005527267	いま	0.005959608	くト	0.00536178	ノふ	0.005595561	たヘ	0.00586421	るさ	0.005637712	はず	0.00715246
おく	0.006050277	ふな	0.005939341	のに	0.005449528	くし	0.005800897	いづ	0.005201966	みつ	0.005516861	ちか	0.00586421	さら	0.005241248	なら	0.007075635
れて	0.006050277	やこ	0.005702084	れに	0.005449528	ふト	0.005800897	たつ	0.005201966	きコ	0.005438162	みま	0.005786124	さケ	0.004844785	らば	0.007075635
かね	0.005662935	なる	0.005622998	かま	0.005371788	はた	0.005721541	かゲ	0.005042151	よは	0.005359462	かれ	0.005708039	をり	0.004844785	つも	0.006384205
ふれ	0.005353062	ねノ	0.005622998	がね	0.004594395	てし	0.005642185	ドり	0.005042151	せノ	0.005280762	ひし	0.005629954	なを	0.004765492	もを	0.006384205
ロノ	0.005353062	しこ	0.005464827	へノ	0.004516656	トか	0.00556283	はは	0.005042151	きよ	0.005123362	たも	0.005551868	りぬ	0.004765492	ひみ	0.006307379
ロは	0.005198125	もか	0.005464827	づき	0.004438916	りト	0.005404119	いは	0.004962244	はつ	0.005123362	ませ	0.005551868	きト	0.004686199	いか	0.006230554
らを	0.005043189	さな	0.005385741	あメ	0.004361177	ぬト	0.005324763	ひき	0.004962244	かず	0.005044662	ゆく	0.005473783	にい	0.004606906	いノ	0.006076902
くは	0.004888252	つノ	0.005148484	たか	0.004361177	はあ	0.005324763	はる	0.004882336	ふみ	0.005044662	わか	0.005473783	いや	0.004527614	せむ	0.005846426
はぬ	0.004888252	つみ	0.005148484	たに	0.004361177	らメ	0.005324763	ひか	0.004802429	がみ	0.004887262	しろ	0.005395697	トヨ	0.004527614	ばか	0.005692775
ヘば	0.004810784	コぎ	0.004990312	れノ	0.004127959	れを	0.005086696	ケば	0.004722522	ノが	0.004887262	かひ	0.005083356	りな	0.004527614	しも	0.005615949
れな	0.004578379	ねに	0.004990312	かさ	0.00405022	もし	0.004610562	うま	0.004642615	コヨ	0.004808563	ちは	0.004927185	がか	0.004210443	みつ	0.005462298
をノ	0.004578379	りす	0.00483214	さを	0.00397248	さに	0.004531207	づく	0.004642615	ぬば	0.004729863	たむ	0.0048491	なさ	0.004210443	こに	0.005385472
なれ	0.0040361	ぶね	0.004753055	にき	0.003894741	むす	0.004531207	はふ	0.004642615	かが	0.004572463	らむ	0.0048491	らば	0.004210443	ただ	0.005385472
しも	0.003803695	もも	0.004673969	いロ	0.003817002	はば	0.004451851	がノ	0.0044828	れる	0.004572463	がき	0.004771015	ぐひ	0.003972565	みむ	0.005231821
しト	0.003726227	エノ	0.004436712	をみ	0.003817002	ヨり	0.004451851	はも	0.0044828	おト	0.004493763	もち	0.004771015	にな	0.003972565	ずは	0.005154996
ねつ	0.003726227	とに	0.004436712	くを	0.003739262	ヘド	0.004372495	がな	0.004322985	くよ	0.004415063	より	0.004771015	ひす	0.003972565	ヒつ	0.004924519
もへ	0.003726227	たて	0.004357626	ノく	0.003739262	はい	0.00429314	たら	0.004322985	ノた	0.004415063	らた	0.004771015	さか	0.003893272	せば	0.004770868
しお	0.003648759	らし	0.004199454	ふノ	0.003739262	あふ	0.004213784	かば	0.004243078	あす	0.004257663	にま	0.004614844	なる	0.003813979	ミに	0.004770868
しけ	0.003648759	にノ	0.003962197	ベく	0.003739262	いに	0.004213784	ひキ	0.004243078	ヒわ	0.004257663	るま	0.004614844	なた	0.003734687	につ	0.004694042
はね	0.003648759	いソ	0.003883111	ふき	0.003661523	たエ	0.003817006	まよ	0.004243078	さヘ	0.004178964	はし	0.004536759	さメ	0.003655394	らま	0.004617217
やす	0.003648759	かぢ	0.00372494	らつ	0.003661523	ぐさ	0.003658295	づさ	0.004163171	ふケ	0.004178964	ちて	0.004458673	ちり	0.003655394	あが	0.004540391
にお	0.00357129	トめ	0.00372494	とノ	0.003583784	ノひ	0.003658295	なつ	0.004163171	ひは	0.004100264	ぬる	0.004458673	きく	0.003576101	もし	0.004540391
れか	0.00357129	ノさ	0.00372494	すぎ	0.003506044	しへ	0.003578939	かづ	0.003923449	ノつ	0.004021564	あメ	0.004380588	かづ	0.003496808	ずて	0.004463565
をお	0.00357129	ノり	0.00372494	ロづ	0.003506044	ちに	0.003578939	くみ	0.003923449	しノ	0.003942864	もト	0.004224417	うぐ	0.003417516	ずあ	0.004309914
エず	0.003493822	みコ	0.00372494	ケぬ	0.003350566	をに	0.003499583	づま	0.003923449	さや	0.003628064	やし	0.004224417	コゑ	0.003417516	すべ	0.004156263
ベき	0.003493822	つな	0.003645854	るら	0.003350566	いひ	0.003261516	コも	0.003843541	たぎ	0.003549364	さま	0.004146332	きわ	0.003338223	くあ	0.004079438
たゆ	0.003338885	ねは	0.003645854	ちし	0.003272826	るベ	0.003261516	かき	0.003683727	たち	0.003549364	コむ	0.003990161	どに	0.003338223	しは	0.004002612
みだ	0.003338885	くし	0.003487682	をれ	0.003272826	らさ	0.003102805	はり	0.003683727	りた	0.003549364	たメ	0.003990161	かた	0.00325893	ヨソ	0.004002612
もコ	0.003338885	こノ	0.003487682	きし	0.003195087	ヨに	0.00302345	むな	0.003683727	るつ	0.003470665	くま	0.003833991	ちる	0.00325893	をな	0.003925787
ノい	0.003261417	ノお	0.003487682	ぜノ	0.003195087	かメ	0.002944094	かね	0.00360382	こほ	0.003391965	つち	0.00367782	みる	0.00325893	にこ	0.003848961
ノも	0.003261417	へな	0.003487682	にほ	0.003117348	さり	0.002944094	さね	0.00360382	らぬ	0.003234565	てに	0.003521649	をか	0.00325893	にせ	0.003848961
がひ	0.00310648	たた	0.003329511	ぬベ	0.003117348	にあ	0.002944094	あを	0.003523912	コし	0.003155865	ケな	0.003443564	すな	0.003179638	ヒし	0.003772135
トお	0.00310648	たつ	0.003329511	ノの	0.003117348	ずト	0.002864738	ゲに	0.003523912	さか	0.003155865	しつ	0.003443564	はや	0.003179638	ぎて	0.00369531
がお	0.003029012	るな	0.003329511	りが	0.003117348	れも	0.002864738	まゆ	0.003444005	のは	0.003155865	るき	0.003443564	やな	0.003179638	つぎ	0.003388008
るコ	0.003029012	こら	0.003171339	され	0.003039608	いヘ	0.002785383	ゆみ	0.003444005	ふた	0.003155865	ろた	0.003443564	るに	0.003100345	ちも	0.003157531
けく	0.002951544	もす	0.003171339	らま	0.003039608	びト	0.002785383	づノ	0.003364098	つせ	0.003077165	いつ	0.003365478	らす	0.003021052	くノ	0.003080705
しし	0.002951544	かミ	0.003092254	ふく	0.002961869	りも	0.002785383	こゆ	0.00328419	はせ	0.003077165	がて	0.003209308	いつ	0.00294176	ヒむ	0.003080705
ゾお	0.002951544	コぐ	0.003092254	りソ	0.002961869	しり	0.002706027	ノね	0.00328419	かつ	0.002919765	がま	0.003209308	かど	0.002862467	ベし	0.00300388
るも	0.002951544	ミノ	0.002934082	きき	0.00288413	はさ	0.002706027	でて	0.003204283	せに	0.002919765	くり	0.003209308	きを	0.002862467	みず	0.002927054
ロを	0.002874075	かか	0.002854996	ちら	0.00288413	トゴ	0.002626671	びき	0.003204283	らゆ	0.002919765	ぬれ	0.003209308	かざ	0.002783174	ヘぬ	0.002850229
だれ	0.002719139	こし	0.002854996	ソメ	0.00280639	ヨロ	0.002626671	きや	0.003124376	さよ	0.002841066	がす	0.003131222	てる	0.002783174	がい	0.002619752
ゐて	0.002719139	こを	0.002854996	つト	0.00280639	むひ	0.002547316	にも	0.003124376	すか	0.002841066	ても	0.003131222	なで	0.002703881	ては	0.002542926
コだ	0.00264167	たし	0.00277591	ぐれ	0.002728651	けれ	0.00246796	ゑに	0.003124376	をは	0.002841066	ちを	0.003053137	ノさ	0.002703881	ノヘ	0.002466101
ねも	0.002564202	ノエ	0.00277591	なふ	0.002728651	すび	0.00246796	エて	0.003044468	かき	0.002762366	へに	0.003053137	うゑ	0.002624589	ひだ	0.002466101
らエ	0.002564202	ヨす	0.00277591	のへ	0.002728651	ヨノ	0.00246796	にた	0.003044468	ケに	0.002762366	はひ	0.002896966	すノ	0.002624589	しメ	0.002389275
しコ	0.002409265	りせ	0.00277591	へし	0.002728651	るひ	0.00246796	まへ	0.003044468	くろ	0.002683666	あケ	0.002818881	なギ	0.002545296	つあ	0.002389275
ふコ	0.002409265	るみ	0.00277591	きあ	0.002650911	れこ	0.00246796	ゆふ	0.003044468	ちた	0.002683666	くほ	0.002740796	ヨみ	0.002466003	べな	0.002389275
ゆゑ	0.002409265	かな	0.002696825	しぐ	0.002650911	ずし	0.002388605	にふ	0.002964561	ドあ	0.002683666	がつ	0.00266271	こは	0.002386711	エコ	0.002235624
くし	0.002331797	まコ	0.002696825	ちり	0.002650911	ねか	0.002388605	ノこ	0.002964561	なほ	0.002683666	かヘ	0.00266271	さけ	0.002386711	てあ	0.002235624
じト	0.002331797	きす	0.002617739	まと	0.002650911	ミな	0.002388605	ゆゑ	0.002724839	ぬら	0.002604966	メつ	0.00266271	なな	0.002386711	つね	0.002158798
るト	0.002331797	ねを	0.002617739	むき	0.002650911	ゲき	0.002229893	をや	0.002724839	よき	0.002604966	れや	0.00266271	たく	0.002307418	ヒを	0.002158798
かも	0.002254329	らが	0.002617739	りつ	0.002650911	しわ	0.002229893	こま	0.002644932	らが	0.002604966	てむ	0.002584625	まて	0.002307418	ふま	0.002158798
ゲき	0.002254329	ささ	0.002538653	るゆ	0.002650911	すト	0.002229893	ねて	0.002644932	かよ	0.002526266	りコ	0.002584625	くは	0.002148832	をら	0.002158798
ゾあ	0.00217686	ソコ	0.002538653	ふか	0.002573172	たみ	0.002229893	ほく	0.002644932	るひ	0.002526266	りみ	0.002584625	せむ	0.002148832	にや	0.002081973
なす	0.00217686	つり	0.002538653	より	0.002573172	トド	0.002229893	みか	0.002644932	トコ	0.002447566	せる	0.00250654	やに	0.002148832	はヘ	0.002081973
るく	0.00217686	にヨ	0.002538653	しゾ	0.002495433	トメ	0.002229893	あづ	0.002565025	みヨ	0.002447566	にゾ	0.00250654	るゴ	0.002148832	りつ	0.002081973
れド	0.002099392	ほノ	0.002538653	つね	0.002495433	やひ	0.002229893	ケノ	0.002565025	よふ	0.002447566	ひつ	0.00250654	きケ	0.00206954	くば	0.002005147
ゐノ	0.002099392	りそ	0.002538653	たを	0.002417693	れト	0.002229893	しら	0.002565025	つを	0.002368866	あた	0.002350369	ぐら	0.00206954	ソに	0.002005147
すゲ	0.002021924	かる	0.002459567	ノも	0.002339954	へノ	0.002150538	らふ	0.002565025	やみ	0.002368866	トし	0.002194198	でし	0.00206954	あふ	0.001928322
ぬひ	0.002021924	やノ	0.002459567	はき	0.002339954	しぬ	0.002071182	をさ	0.002565025	そか	0.002290166	ばく	0.002194198	るを	0.00206954	くし	0.001928322
もに	0.002021924	いほ	0.002380482	ノし	0.002262215	ちノ	0.002071182	いな	0.00240521	かト	0.002211467	むし	0.002116113	きソ	0.001990247	るら	0.001928322
はお	0.001944455	ケに	0.00222231	みむ	0.002184475	メて	0.002071182	がり	0.00240521	コゆ	0.002211467	かミ	0.002038028	すぐ	0.001990247	てば	0.001851496
ミし	0.001944455	てて	0.002143224	さつ	0.002106736	トあ	0.001991826	づか	0.00240521	せを	0.002132767	くも	0.002038028	たま	0.001990247	はじ	0.001851496
やし	0.001944455	ぬき	0.002143224	なヘ	0.002106736	ねな	0.001991826	ちな	0.002325303	ノせ	0.002132767	トせ	0.002038028	たを	0.001990247	さず	0.001774671
ゴロ	0.001866987	ほぶ	0.002143224	なゆ	0.002106736	りき	0.001912471	ノす	0.002325303	らひ	0.002132767	くさ	0.001959942	トく	0.001990247	もか	0.001774671
ノゆ	0.001866987	らミ	0.002143224	ねば	0.002106736	いね	0.001833115	まず	0.002325303	しば	0.002054067	ひを	0.001959942	にさ	0.001990247	ゐに	0.001774671
むト	0.001866987	いざ	0.002064139	ほひ	0.002106736	さし	0.001833115	まづ	0.002325303	たが	0.002054067	かな	0.001881857	ふぢ	0.001990247	だし	0.001697845
かな	0.001789519	がふ	0.002064139	ゆノ	0.002106736	つは	0.001833115	みわ	0.002325303	ちわ	0.002054067	トか	0.001881857	うノ	0.001910954	つひ	0.001697845
けに	0.001789519	ヨせ	0.002064139	をら	0.002106736	まひ	0.001833115	をか	0.002325303	かふ	0.001975367	びゆ	0.001881857	かも	0.001910954	ヒや	0.001697845
むら	0.00171205	りて	0.002064139	ソね	0.002028997	らね	0.001833115	エむ	0.002245395	つゲ	0.001975367	やき	0.001881857	きし	0.001910954	むも	0.001621019
すが	0.001634582	にゆ	0.001985053	てを	0.002028997	れし	0.001833115	すむ	0.002245395	まそ	0.001975367	さぬ	0.001803772	きふ	0.001910954	つに	0.001544194
たケ	0.001634582	はて	0.001985053	ふさ	0.002028997	ゲく	0.001674404	てゆ	0.002245395	よノ	0.001975367	てぬ	0.001803772	ちに	0.001910954	ヒて	0.001544194
もで	0.001634582	まり	0.001985053	いち	0.001951257	ゲけ	0.001674404	ゲノ	0.002165488	くに	0.001896667	ノよ	0.001803772	メは	0.001910954	をあ	0.001544194
ロか	0.001634582	やそ	0.001985053	がう	0.001951257	みる	0.001674404	さゆ	0.002165488	ぢノ	0.001896667	ふも	0.001803772	ざし	0.001831662	エつ	0.001467368
くお	0.001557114	うな	0.001905967	ギは	0.001951257	をも	0.001674404	しが	0.002165488	ばら	0.001896667	れぬ	0.001803772	しつ	0.001831662	ヒノ	0.001467368
でノ	0.001557114	さし	0.001905967	さぢ	0.001951257	きを	0.001595048	なゲ	0.002165488	ちド	0.001817967	ちが	0.001725686	はち	0.001831662	エぬ	0.001390543
エぬ	0.001479645	たふ	0.001905967	ひを	0.001951257	トつ	0.001595048	ゆケ	0.002165488	つば	0.001817967	なゲ	0.001725686	きま	0.001752369	かあ	0.001390543
にす	0.001479645	トま	0.001905967	やく	0.001951257	ノヨ	0.001595048	よひ	0.002165488	ノノ	0.001817967	ノき	0.001725686	とは	0.001752369	くこ	0.001390543
ねず	0.001479645	むか	0.001905967	うれ	0.001873518	ヒメ	0.001595048	しづ	0.002085581	りな	0.001817967	ヨく	0.001725686	トや	0.001752369	して	0.001313717
くな	0.001402177	すぎ	0.001826881	きむ	0.001873518	あを	0.001515693	トゾ	0.002085581	ろか	0.001817967	よを	0.001725686	ひな	0.001752369	なま	0.001313717
コも	0.001402177	ぢノ	0.001826881	くつ	0.001873518	きせ	0.001515693	むこ	0.002085581	コせ	0.001739267	かて	0.001647601	ぶき	0.001752369	にだ	0.001313717
なゐ	0.001402177	ヒに	0.001826881	だも	0.001873518	てノ	0.001515693	よぶ	0.002085581	さし	0.001739267	くき	0.001647601	ふゆ	0.001752369	おヒ	0.001236892
ひソ	0.001402177	みら	0.001826881	はす	0.001873518	とふ	0.001515693	かる	0.002005673	さほ	0.001739267	コソ	0.001647601	がし	0.001673076	くら	0.001236892
もわ	0.001402177	めら	0.001826881	ばノ	0.001873518	なト	0.001515693	さは	0.002005673	とり	0.001739267	ずか	0.001647601	けむ	0.001673076	だて	0.001236892
をば	0.001402177	あヘ	0.001747795	むく	0.001873518	ノら	0.001515693	ねむ	0.002005673	やト	0.001739267	もゐ	0.001647601	たる	0.001673076	ちに	0.001236892
おふ	0.001324709	きヨ	0.001747795	ぜに	0.001795779	はヨ	0.001515693	ゆら	0.002005673	おち	0.001660567	いも	0.001569515	メづ	0.001673076	てき	0.001236892
ドき	0.001324709	ミを	0.001747795	われ	0.001795779	ふひ	0.001515693	がゆ	0.001925766	キり	0.001660567	ちト	0.001569515	ゆな	0.001673076	トほ	0.001236892
るひ	0.001324709	るら	0.001747795	かる	0.001718039	へゆ	0.001515693	キは	0.001925766	たま	0.001660567	てま	0.001569515	らさ	0.001673076	なが	0.001236892
るわ	0.001324709	だノ	0.00166871	きさ	0.001718039	やら	0.001515693	つた	0.001925766	やケ	0.001660567	ひく	0.001569515	あそ	0.001593783	ふヨ	0.001236892
きに	0.00124724	たみ	0.00166871	きづ	0.001718039	りぬ	0.001515693	てか	0.001925766	ゆメ	0.001660567	びに	0.001569515	けら	0.001593783	むヨ	0.001236892
けド	0.00124724	なご	0.00166871	ヒも	0.001718039	がみ	0.001436337	なる	0.001925766	たは	0.001581868	ける	0.00149143	ねド	0.001593783	ざら	0.001160066
すく	0.00124724	ほヒ	0.00166871	むた	0.001718039	しノ	0.001436337	ふる	0.001925766	ぬれ	0.001581868	つき	0.00149143	まが	0.001593783	だく	0.001160066
とも	0.00124724	きへ	0.001589624	りか	0.001718039	にヨ	0.001436337	まぢ	0.001925766	はづ	0.001581868	ふい	0.00149143	がな	0.001514491	トに	0.001160066
ヒに	0.00124724	くひ	0.001589624	エに	0.0016403	ほか	0.001436337	りし	0.001925766	ふち	0.001581868	へを	0.00149143	すす	0.001514491	にく	0.001160066
ヘか	0.00124724	ぐふ	0.001589624	ぬノ	0.0016403	まケ	0.001436337	るノ	0.001925766	ヨド	0.001581868	やか	0.00149143	にほ	0.001514491	ひに	0.001160066
へら	0.00124724	ごノ	0.001589624	ぬれ	0.0016403	ゲみ	0.001356981	ギり	0.001845859	いく	0.001503168	をま	0.00149143	のし	0.001514491	がメ	0.001083241
ほコ	0.00124724	しじ	0.001589624	ゆし	0.0016403	コち	0.001356981	ちぬ	0.001845859	がむ	0.001503168	ちこ	0.001413345	ヒノ	0.001514491	ノト	0.001083241
るノ	0.00124724	ぢか	0.001589624	たく	0.001562561	しい	0.001356981	ぬれ	0.001845859	キを	0.001503168	はゆ	0.001413345	るや	0.001514491	ヒに	0.001083241
こロ	0.001169772	ぢし	0.001589624	なへ	0.001562561	ずけ	0.001356981	ほつ	0.001845859	みぬ	0.001503168	へだ	0.001413345	かき	0.001435198	むケ	0.001083241
さす	0.001169772	なと	0.001589624	ふべ	0.001562561	つロ	0.001356981	ゆき	0.001845859	もせ	0.001503168	くく	0.001335259	がさ	0.001435198	やい	0.001083241
ノほ	0.001169772	みさ	0.001589624	べノ	0.001562561	トふ	0.001356981	いき	0.001765951	れば	0.001503168	でか	0.001335259	くひ	0.001435198	よも	0.001083241
ほエ	0.001169772	やは	0.001589624	がし	0.001484821	はメ	0.001356981	かや	0.001765951	さぶ	0.001424468	にト	0.001335259	まじ	0.001435198	をる	0.001083241
ゆも	0.001169772	ゆた	0.001589624	きゆ	0.001484821	メド	0.001356981	がら	0.001765951	ちち	0.001424468	はく	0.001335259	いケ	0.001355905	きき	0.001006415
きい	0.001092304	りエ	0.001589624	コゑ	0.001484821	がい	0.001277626	たが	0.001765951	なノ	0.001424468	ヘや	0.001335259	すま	0.001355905	じか	0.001006415
ケド	0.001092304	くヨ	0.001510538	なづ	0.001484821	がひ	0.001277626	まや	0.001765951	はみ	0.001424468	らは	0.001335259	せな	0.001355905	てみ	0.001006415
しロ	0.001092304	こみ	0.001510538	にひ	0.001484821	しメ	0.001277626	もた	0.001765951	ひこ	0.001424468	かく	0.001257174	ぬに	0.001355905	トメ	0.001006415
てな	0.001092304	みト	0.001510538	ほす	0.001484821	てお	0.001277626	つが	0.001686044	みに	0.001424468	かゆ	0.001257174	はコ	0.001355905	ほの	0.001006415
トひ	0.001092304	みふ	0.001510538	もお	0.001484821	もね	0.001277626	とを	0.001686044	をち	0.001424468	きだ	0.001257174	まま	0.001355905	ほほ	0.001006415
はし	0.001092304	ヨる	0.001510538	いと	0.001407082	ゆト	0.001277626	よび	0.001686044	かケ	0.001345768	しロ	0.001257174	せし	0.001276613	まは	0.001006415
ひお	0.001092304	らを	0.001510538	かト	0.001407082	しさ	0.00119827	りゆ	0.001686044	すき	0.001345768	すき	0.001257174	なも	0.001276613	もい	0.001006415
ふは	0.001092304	くか	0.001431452	がの	0.001407082	せみ	0.00119827	ケむ	0.001606137	だか	0.001345768	てい	0.001257174	にを	0.001276613	ぎへ	0.000929589
まは	0.001092304	にす	0.001431452	きた	0.001407082	なぐ	0.00119827	こド	0.001606137	てら	0.001345768	でふ	0.001257174	きほ	0.00119732	たら	0.000929589
やむ	0.001092304	はか	0.001431452	たば	0.001407082	びて	0.00119827	たや	0.001606137	はと	0.001345768	ねば	0.001257174	ぬれ	0.00119732	ねノ	0.000929589
ロが	0.001092304	メか	0.001431452	つケ	0.001407082	ゆり	0.00119827	ほふ	0.001606137	わか	0.001345768	ふか	0.001257174	ふふ	0.00119732	ばコ	0.000929589
ロひ	0.001092304	やド	0.001431452	りお	0.001407082	りね	0.00119827	たひ	0.00152623	づく	0.001267068	まの	0.001257174	ゑノ	0.00119732	ヒず	0.000929589
キに	0.001014835	るふ	0.001431452	りく	0.001407082	ゑや	0.00119827	つや	0.00152623	ひが	0.001267068	むか	0.001257174	あや	0.001118027	ヒば	0.000929589
ケず	0.001014835	ロし	0.001431452	あへ	0.001329343	さも	0.001118914	ゆひ	0.00152623	まね	0.001267068	もき	0.001257174	エだ	0.001118027	ほド	0.000929589
しだ	0.001014835	いそ	0.001352367	ぜふ	0.001329343	しキ	0.001118914	かこ	0.001446322	ミノ	0.001267068	れた	0.001257174	くわ	0.001118027	むを	0.000929589
ノト	0.001014835	みね	0.001352367	ふる	0.001329343	つケ	0.001118914	ゴも	0.001446322	りか	0.001267068	がる	0.001179089	さふ	0.001118027	らじ	0.000929589
