sound	cont
あエ	2.3657E-05
あか	0.008504195
あが	7.91701E-06
あキ	2.39806E-05
あき	2.3657E-05
あく	0.000200033
あケ	0.001533476
あけ	2.39806E-05
あゲ	0.000213741
あご	7.91701E-06
あさ	0.000473762
あざ	2.37304E-05
あし	7.91701E-06
あじ	7.08769E-05
あす	0.004838293
あず	3.9794E-05
あせ	2.38323E-05
あぜ	7.1097E-05
あソ	7.11706E-05
あそ	0.000214816
あた	5.52836E-05
あだ	5.5663E-05
あぢ	7.91701E-06
あつ	7.91701E-06
あづ	0.000505889
あて	2.3657E-05
あト	7.91701E-06
あと	7.14955E-05
あド	3.93682E-05
あど	7.11706E-05
あな	5.53572E-05
あに	2.35548E-05
あノ	3.94704E-05
あの	7.91701E-06
あは	8.61062E-05
あば	7.91701E-06
あひ	0.000329189
あび	7.04683E-05
あふ	0.000308372
あぶ	2.3657E-05
あヘ	0.000360993
あへ	0.000345253
あベ	2.35548E-05
あほ	7.06726E-05
あま	0.005127295
あみ	0.000117909
あむ	2.38323E-05
あメ	0.000387014
あも	7.18749E-05
あや	0.00016539
あゆ	0.00055897
あよ	7.91701E-06
あら	2.39806E-05
あり	0.000455326
ある	0.000629356
あれ	0.000149935
あろ	2.37304E-05
あわ	3.97477E-05
あゐ	2.37304E-05
あを	0.001058051
いか	5.5663E-05
いき	0.000246647
いく	0.000527034
いケ	7.15783E-05
いけ	7.91701E-06
いコ	7.91701E-06
いこ	0.00010205
いさ	0.000465478
いざ	0.000149475
いし	0.00095863
いせ	7.91701E-06
いソ	0.000118317
いそ	7.91701E-06
いた	0.000151563
いだ	2.37304E-05
いち	7.91701E-06
いつ	2.3657E-05
いづ	0.000198901
いて	7.91701E-06
いで	0.000182041
いト	5.48305E-05
いと	7.91701E-06
いな	5.53572E-05
いに	0.000262562
いぬ	3.94704E-05
いね	0.000875337
いノ	7.91701E-06
いの	2.3657E-05
いは	0.000946644
いば	7.91701E-06
いひ	0.000228644
いび	3.91927E-05
いふ	7.91701E-06
いぶ	0.000134526
いヘ	7.91701E-06
いへ	2.3657E-05
いほ	2.35548E-05
いま	2.3657E-05
いみ	7.91701E-06
いむ	0.000325204
いメ	7.91701E-06
いも	0.000134204
いや	0.000650461
いゆ	0.000103003
いヨ	7.91701E-06
いら	7.91701E-06
いり	0.000165317
いる	7.14208E-05
いロ	2.37304E-05
いわ	8.74381E-05
いを	3.96457E-05
うう	7.91701E-06
うか	8.73917E-05
うき	0.000183072
うぐ	3.95438E-05
うケ	0.000402747
うけ	3.97477E-05
うご	7.04683E-05
うさ	7.91701E-06
うし	7.91701E-06
うす	7.91701E-06
うず	7.91701E-06
うせ	8.78093E-05
うた	3.9397E-05
うだ	5.51369E-05
うち	0.00037397
うぢ	0.000404519
うつ	3.97477E-05
うづ	0.000119222
うて	2.37304E-05
うト	2.3657E-05
うな	0.000117382
うに	7.91701E-06
うぬ	2.37304E-05
うね	7.91701E-06
うノ	2.35548E-05
うは	5.5663E-05
うば	7.91701E-06
うヘ	7.91701E-06
うへ	7.91701E-06
うベ	0.000211486
うま	2.38323E-05
うみ	2.35548E-05
うむ	7.91701E-06
うメ	2.35548E-05
うも	2.39806E-05
うや	2.3657E-05
うら	7.91701E-06
うる	0.000248871
うれ	2.39806E-05
うゑ	2.37304E-05
うを	7.91701E-06
エい	8.64573E-05
えい	7.91701E-06
エう	5.57842E-05
エか	5.51369E-05
えか	2.38323E-05
エが	7.91701E-06
えが	7.91701E-06
エき	0.00020068
エく	7.91701E-06
エけ	0.000102373
エコ	3.91927E-05
エこ	2.3657E-05
エざ	7.91701E-06
エし	5.53572E-05
えし	7.91701E-06
エじ	0.000150193
エす	7.91701E-06
えす	7.91701E-06
エず	7.07458E-05
えず	7.91701E-06
エせ	2.3657E-05
えせ	2.35548E-05
エソ	7.91701E-06
エた	8.79114E-05
えた	2.35548E-05
エだ	7.91701E-06
エつ	7.91701E-06
えつ	2.35548E-05
エて	3.97477E-05
えて	7.18749E-05
エト	7.91701E-06
エと	2.3657E-05
エな	0.000150238
えな	7.91701E-06
エに	7.91701E-06
エぬ	3.97477E-05
えぬ	7.91701E-06
エね	2.38323E-05
えね	2.39806E-05
エノ	7.91701E-06
エの	2.3657E-05
えノ	3.96185E-05
エは	7.91701E-06
エば	0.000151452
エび	2.38323E-05
エま	2.39806E-05
エみ	2.37304E-05
エむ	0.000149083
えむ	3.9397E-05
エメ	7.91701E-06
エも	2.39806E-05
えも	2.38323E-05
エゆ	5.61079E-05
えゆ	2.37304E-05
エヨ	2.35548E-05
エよ	8.74666E-05
えら	7.91701E-06
えり	7.91701E-06
エを	7.91701E-06
えを	7.91701E-06
おい	7.91701E-06
おう	3.95438E-05
おか	7.91701E-06
おキ	7.91701E-06
おき	7.21715E-05
