sound	cont
あエ	2.31437E-05
あか	3.91069E-05
あが	0.000686467
あキ	3.89007E-05
あき	0.021648703
あく	0.000131835
あケ	5.41689E-05
あけ	3.86182E-05
あゲ	0.000100135
あご	7.74546E-06
あさ	0.00950082
あざ	7.74546E-06
あし	7.74546E-06
あじ	8.53242E-05
あす	7.74546E-06
あず	7.74546E-06
あせ	7.74546E-06
あぜ	7.74546E-06
あソ	2.31437E-05
あそ	0.00056117
あた	8.51179E-05
あだ	0.000256792
あぢ	7.74546E-06
あつ	3.85419E-05
あづ	2.34262E-05
あて	7.74546E-06
あト	7.74546E-06
あと	7.74546E-06
あド	2.32933E-05
あど	7.74546E-06
あな	0.000178024
あに	6.96434E-05
あノ	2.32933E-05
あの	7.74546E-06
あは	7.74546E-06
あば	2.30988E-05
あひ	0.000132128
あび	7.74546E-06
あふ	7.74546E-06
あぶ	6.9488E-05
あヘ	0.00022394
あへ	0.000303008
あベ	2.322E-05
あほ	3.84521E-05
あま	5.38054E-05
あみ	7.74546E-06
あむ	7.74546E-06
あメ	0.006622885
あも	7.74546E-06
あや	7.74546E-06
あゆ	6.91587E-05
あよ	2.34262E-05
あら	3.84521E-05
あり	7.74546E-06
ある	3.86182E-05
あれ	6.96434E-05
あろ	5.41328E-05
あわ	0.001200808
あゐ	7.74546E-06
あを	8.58834E-05
いか	7.74546E-06
いき	2.31437E-05
いく	7.74546E-06
いケ	7.74546E-06
いけ	6.97424E-05
いコ	3.88244E-05
いこ	3.85733E-05
いさ	0.000193439
いざ	7.74546E-06
いし	7.74546E-06
いせ	2.31437E-05
いソ	2.34262E-05
いそ	3.91069E-05
いた	2.30988E-05
いだ	7.74546E-06
いち	0.000396442
いつ	2.322E-05
いづ	2.32933E-05
いて	7.74546E-06
いで	0.000285196
いト	2.30988E-05
いと	0.000333878
いな	5.40927E-05
いに	2.32933E-05
いぬ	0.000209125
いね	7.74546E-06
いノ	6.93384E-05
いの	7.74546E-06
いは	0.000164553
いば	7.74546E-06
いひ	3.88412E-05
いび	2.31437E-05
いふ	7.74546E-06
いぶ	0.000163004
いヘ	2.322E-05
いへ	0.000178625
いほ	9.98654E-05
いま	0.000100592
いみ	7.74546E-06
いむ	7.74546E-06
いメ	2.30988E-05
いも	6.92935E-05
いや	0.000701047
いゆ	0.000564997
いヨ	2.34262E-05
いら	7.74546E-06
いり	7.74546E-06
いる	8.45121E-05
いロ	0.004109955
いわ	7.74546E-06
いを	7.74546E-06
うう	2.322E-05
