uta	att
4	0.10994152
6	0.131890332
7	0.09033189
8	0.096783626
9	0.105387205
10	0.128362573
11	0.107309942
12	0.099415205
14	0.115204678
15	0.113708514
18	0.112573099
19	0.10994152
20	0.112573099
21	0.105916306
22	0.138888889
23	0.098074074
24	0.125730994
27	0.087734488
28	0.128362573
30	0.111111111
31	0.09033189
32	0.116305916
33	0.10994152
34	0.128362573
35	0.100721501
37	0.116305916
39	0.088888889
40	0.105916306
41	0.104678363
42	0.123099415
43	0.120467836
44	0.102046784
46	0.103318903
47	0.121500722
48	0.115204678
49	0.078362573
51	0.106074074
53	0.099415205
54	0.099415205
55	0.130994152
56	0.094152047
57	0.120467836
58	0.094152047
59	0.112573099
60	0.13968254
61	0.107309942
62	0.115204678
63	0.125730994
64	0.092929293
65	0.098124098
66	0.141520468
67	0.142279942
68	0.108513709
69	0.196783626
70	0.10994152
71	0.088888889
72	0.141520468
73	0.120467836
74	0.102046784
75	0.116305916
76	0.116305916
77	0.118903319
78	0.11994302
80	0.100721501
81	0.102046784
82	0.102046784
83	0.111111111
84	0.07994228
85	0.170467836
86	0.157864358
87	0.165656566
88	0.10994152
89	0.15994152
90	0.15994152
91	0.160968661
92	0.107309942
93	0.135327635
94	0.115204678
95	0.092740741
96	0.092929293
97	0.087734488
98	0.099415205
99	0.099415205
100	0.09033189
101	0.118903319
102	0.099430199
103	0.107309942
104	0.099415205
105	0.112573099
106	0.113708514
107	0.115204678
108	0.154678363
109	0.107309942
110	0.115204678
111	0.099415205
112	0.115204678
113	0.154678363
114	0.111111111
115	0.126695527
116	0.075730994
117	0.083625731
118	0.107309942
119	0.107309942
120	0.13019943
121	0.083625731
122	0.080994152
123	0.130994152
124	0.103318903
125	0.116305916
126	0.107309942
127	0.095526696
128	0.103318903
129	0.106074074
130	0.096783626
132	0.104678363
133	0.100721501
134	0.096783626
136	0.13625731
137	0.13968254
139	0.108513709
140	0.118903319
141	0.154678363
142	0.186435786
143	0.133625731
144	0.108513709
145	0.116049383
146	0.165204678
147	0.113708514
148	0.082539683
149	0.096783626
151	0.107309942
152	0.112573099
154	0.100721501
156	0.093265993
157	0.113708514
158	0.099415205
160	0.089514867
161	0.125730994
163	0.126695527
164	0.157309942
165	0.101994302
166	0.101994302
168	0.133625731
169	0.125730994
170	0.094152047
171	0.107309942
172	0.112573099
173	0.124098124
174	0.133625731
175	0.111111111
176	0.146783626
177	0.120467836
178	0.088888889
179	0.107309942
180	0.104678363
181	0.09033189
182	0.128362573
183	0.107309942
184	0.099415205
185	0.107309942
186	0.125730994
187	0.133625731
188	0.102046784
189	0.098124098
190	0.080994152
191	0.117836257
192	0.104678363
193	0.092929293
195	0.176046176
197	0.118903319
198	0.091520468
200	0.112573099
201	0.102046784
202	0.102046784
203	0.108513709
205	0.178362573
206	0.10994152
208	0.128362573
209	0.111111111
211	0.091520468
212	0.103318903
214	0.094152047
215	0.098124098
216	0.162573099
218	0.099415205
219	0.124740741
221	0.098124098
222	0.149415205
223	0.13968254
224	0.131890332
225	0.085137085
226	0.125071225
227	0.10968661
228	0.146783626
229	0.165656566
231	0.088888889
232	0.112250712
233	0.104678363
234	0.100721501
235	0.183838384
235.1	0.168253968
236	0.084045584
237	0.091737892
238	0.088888889
240	0.130994152
241	0.128362573
242	0.096866097
243	0.118903319
244	0.100721501
245	0.088888889
246	0.095526696
247	0.080994152
248	0.115204678
249	0.096180556
250	0.117836257
251	0.106074074
252	0.146783626
253	0.10994152
254	0.108513709
255	0.096783626
256	0.101994302
256.1	0.107122507
258	0.100721501
259	0.116305916
262	0.096783626
263	0.107122507
264	0.094152047
265	0.124098124
266	0.078917379
267	0.08625731
268	0.094152047
269	0.121500722
270	0.130994152
271	0.104678363
272	0.120467836
273	0.07994228
274	0.096783626
275	0.088888889
276	0.092929293
276.1	0.085137085
277	0.130994152
278	0.095526696
279	0.128362573
280	0.078362573
281	0.117836257
282	0.115204678
283	0.094152047
284	0.096783626
285	0.127635328
286	0.10994152
287	0.117836257
288	0.129292929
289	0.102046784
290	0.128362573
291	0.080994152
292	0.094152047
293	0.129129129
294	0.103318903
295	0.125730994
296	0.105916306
297	0.087734488
298	0.117836257
299	0.096783626
300	0.115204678
301	0.103318903
302	0.127635328
303	0.120467836
304	0.100721501
305	0.124098124
306	0.116305916
307	0.105916306
308	0.091520468
309	0.102046784
310	0.115204678
311	0.083625731
312	0.085137085
313	0.087734488
314	0.083625731
316	0.096783626
318	0.094301994
320	0.107309942
321	0.125730994
323	0.083625731
325	0.07994228
326	0.112573099
327	0.111111111
328	0.096783626
329	0.108513709
330	0.088888889
331	0.096783626
332	0.117378917
333	0.091520468
334	0.123099415
335	0.096783626
336	0.103407407
337	0.170467836
338	0.111111111
339	0.087734488
340	0.124098124
341	0.100721501
342	0.095526696
343	0.099415205
344	0.107309942
345	0.113708514
346	0.094152047
347	0.103318903
348	0.120467836
349	0.127635328
350	0.091520468
351	0.088888889
352	0.103407407
353	0.096783626
354	0.074747475
355	0.104678363
356	0.095526696
357	0.087734488
358	0.100721501
359	0.07994228
360	0.126695527
361	0.128362573
362	0.088888889
363	0.088888889
364	0.098124098
365	0.10994152
367	0.108513709
368	0.088888889
369	0.124098124
370	0.154678363
371	0.082539683
373	0.104678363
374	0.104678363
375	0.073099415
376	0.155266955
377	0.108513709
378	0.103318903
380	0.118903319
381	0.111111111
383	0.102046784
384	0.14374121
385	0.130994152
386	0.103318903
387	0.116305916
389	0.088888889
390	0.09033189
391	0.120467836
392	0.120467836
393	0.091520468
394	0.104678363
395	0.100721501
396	0.105916306
397	0.120467836
398	0.132763533
399	0.126695527
400	0.086609687
401	0.099415205
402	0.087734488
403	0.168253968
404	0.149415205
405	0.114814815
406	0.13625731
407	0.082539683
408	0.117836257
409	0.144152047
410	0.096866097
411	0.099415205
412	0.13625731
413	0.094301994
414	0.096783626
415	0.217378917
416	0.128362573
417	0.10994152
418	0.104678363
419	0.130994152
421	0.102046784
422	0.100721501
424	0.116305916
425	0.100721501
426	0.180994152
427	0.116305916
428	0.098124098
429	0.099415205
430	0.104678363
432	0.102046784
433	0.095526696
434	0.087734488
435	0.128362573
436	0.121500722
437	0.116305916
438	0.181240981
439	0.133625731
440	0.165204678
441	0.137891738
442	0.123099415
444	0.105916306
445	0.144152047
446	0.095526696
447	0.09033189
448	0.085137085
449	0.107309942
450	0.096783626
451	0.188888889
452	0.107309942
453	0.094152047
454	0.15994152
455	0.146783626
456	0.10994152
457	0.152046784
458	0.13968254
459	0.122507123
461	0.157864358
462	0.102046784
463	0.116305916
464	0.087734488
465	0.102046784
467	0.147474747
468	0.16046176
469	0.091520468
470	0.111111111
471	0.130994152
472	0.094152047
473	0.094152047
474	0.104558405
476	0.105916306
477	0.098124098
479	0.113708514
480	0.086609687
482	0.081481481
483	0.088888889
484	0.125730994
486	0.116305916
487	0.095526696
488	0.125730994
489	0.107309942
490	0.103318903
491	0.137085137
492	0.126695527
493	0.163059163
494	0.105916306
495	0.134487734
496	0.085137085
497	0.112573099
498	0.088888889
499	0.122507123
500	0.112573099
501	0.099415205
502	0.103318903
503	0.13019943
504	0.129292929
505	0.108513709
506	0.095526696
507	0.152046784
508	0.105916306
510	0.175730994
511	0.107309942
512	0.095526696
513	0.129292929
514	0.092929293
515	0.099415205
516	0.168253968
517	0.101994302
518	0.117836257
519	0.142279942
520	0.130994152
521	0.099415205
522	0.127635328
523	0.09033189
524	0.120467836
525	0.126695527
526	0.102046784
527	0.105766526
528	0.111111111
530	0.125730994
531	0.13019943
532	0.125730994
533	0.125730994
535	0.155266955
536	0.116305916
537	0.096783626
538	0.077344877
539	0.096866097
540	0.103318903
541	0.098124098
542	0.130994152
544	0.131890332
545	0.091520468
547	0.13625731
548	0.106074074
549	0.235786436
550	0.10968661
551	0.096783626
552	0.117836257
553	0.123099415
554	0.104678363
555	0.13625731
556	0.141520468
557	0.123099415
558	0.129292929
559	0.111111111
560	0.138888889
561	0.099415205
562	0.096783626
563	0.126695527
564	0.13625731
565	0.111111111
566	0.183625731
567	0.116740741
568	0.117836257
569	0.077344877
570	0.107309942
571	0.103318903
572	0.094152047
573	0.108513709
574	0.118903319
575	0.099415205
576	0.115204678
577	0.08625731
578	0.130994152
579	0.130994152
580	0.117836257
581	0.142279942
582	0.085137085
583	0.094152047
584	0.13968254
585	0.093108298
586	0.105916306
587	0.130994152
588	0.104678363
589	0.104678363
590	0.10994152
591	0.117836257
592	0.121500722
593	0.125730994
594	0.096783626
595	0.108513709
596	0.102046784
597	0.112573099
598	0.104678363
599	0.075730994
600	0.07994228
601	0.092929293
602	0.102046784
603	0.165204678
604	0.116305916
605	0.149415205
606	0.098124098
607	0.100721501
608	0.085137085
609	0.111111111
610	0.142279942
611	0.101994302
612	0.126695527
613	0.104678363
614	0.118903319
615	0.13968254
616	0.115204678
617	0.117836257
618	0.104678363
620	0.152669553
621	0.176046176
622	0.178362573
623	0.124098124
624	0.096866097
625	0.130994152
626	0.102046784
627	0.089173789
628	0.092929293
629	0.15994152
630	0.091520468
631	0.146783626
632	0.114814815
633	0.146783626
634	0.170467836
635	0.163059163
636	0.188888889
637	0.088888889
638	0.13625731
639	0.102046784
640	0.138888889
641	0.127635328
642	0.107309942
643	0.082539683
644	0.118903319
645	0.130994152
646	0.10994152
647	0.09033189
648	0.10994152
649	0.111111111
650	0.10994152
651	0.120467836
652	0.137085137
653	0.117836257
654	0.098124098
655	0.116507937
656	0.095526696
657	0.098124098
658	0.115204678
659	0.108298172
660	0.107122507
661	0.116305916
662	0.08625731
663	0.104678363
664	0.112573099
665	0.105916306
666	0.118903319
667	0.127635328
668	0.124098124
669	0.101994302
670	0.123099415
671	0.087734488
672	0.115204678
673	0.105916306
674	0.098171589
675	0.085137085
676	0.112573099
677	0.120467836
678	0.09033189
679	0.091737892
680	0.146783626
681	0.10994152
682	0.087734488
683	0.088888889
684	0.082981716
685	0.125730994
686	0.152046784
687	0.10994152
688	0.10994152
689	0.096783626
690	0.104678363
691	0.082539683
692	0.124098124
693	0.104678363
694	0.133625731
695	0.100721501
696	0.099415205
697	0.133625731
698	0.117836257
699	0.100721501
700	0.149415205
701	0.111111111
702	0.124098124
703	0.10994152
704	0.170467836
705	0.091520468
706	0.099415205
707	0.096783626
708	0.142279942
709	0.117836257
710	0.083625731
711	0.090576653
712	0.103318903
713	0.096783626
714	0.087734488
715	0.088888889
716	0.08625731
717	0.105916306
718	0.099415205
719	0.112573099
720	0.144877345
721	0.102046784
722	0.16046176
724	0.099415205
725	0.099430199
726	0.148804501
727	0.113708514
728	0.105916306
729	0.130994152
730	0.107309942
731	0.102046784
732	0.125730994
733	0.102046784
734	0.154678363
735	0.094152047
736	0.121500722
737	0.092929293
738	0.108513709
739	0.103318903
740	0.096783626
741	0.118903319
742	0.123099415
743	0.138888889
744	0.124098124
745	0.10994152
746	0.100721501
747	0.124098124
748	0.087734488
749	0.105916306
750	0.123099415
751	0.102046784
752	0.105916306
753	0.104678363
754	0.108513709
755	0.128362573
756	0.130994152
757	0.122507123
758	0.152046784
759	0.116305916
760	0.102046784
761	0.095526696
762	0.098124098
763	0.096783626
764	0.080994152
765	0.152046784
766	0.157309942
767	0.107309942
768	0.108513709
769	0.111111111
770	0.084045584
771	0.117836257
772	0.089173789
773	0.096783626
774	0.107309942
775	0.099415205
776	0.087734488
777	0.117836257
778	0.162573099
779	0.123099415
780	0.126695527
781	0.154678363
782	0.144152047
783	0.116305916
784	0.121500722
785	0.108298172
786	0.107309942
787	0.13625731
788	0.091737892
789	0.080994152
790	0.101994302
791	0.086609687
792	0.098124098
793	0.099415205
795	0.150712251
796	0.115204678
797	0.154678363
798	0.102046784
799	0.083625731
801	0.133625731
803	0.115204678
805	0.117836257
806	0.107309942
807	0.104678363
808	0.088888889
809	0.144877345
810	0.131890332
811	0.111111111
812	0.095526696
814	0.141520468
815	0.117836257
816	0.088888889
817	0.088888889
818	0.096783626
819	0.118903319
820	0.091520468
821	0.083625731
822	0.10994152
823	0.080994152
824	0.115204678
825	0.096783626
826	0.080994152
827	0.096783626
828	0.08625731
829	0.111111111
830	0.075730994
831	0.10994152
832	0.09033189
833	0.099415205
834	0.102046784
835	0.083625731
836	0.07994228
837	0.078362573
838	0.107309942
839	0.08625731
840	0.075730994
841	0.088888889
842	0.102046784
843	0.088888889
844	0.117836257
845	0.112573099
846	0.102046784
847	0.096783626
848	0.120467836
849	0.088888889
850	0.100721501
851	0.096783626
852	0.095526696
853	0.07994228
854	0.148148148
855	0.13625731
856	0.138888889
857	0.133625731
858	0.10994152
859	0.144152047
860	0.125730994
861	0.107309942
862	0.120467836
863	0.118903319
864	0.120467836
865	0.133625731
866	0.13625731
867	0.120467836
868	0.10994152
869	0.094152047
870	0.115204678
871	0.112573099
872	0.096783626
873	0.117836257
874	0.128362573
875	0.131890332
876	0.165204678
877	0.123099415
878	0.124098124
879	0.10994152
880	0.102046784
881	0.125730994
882	0.120467836
883	0.121500722
884	0.125730994
885	0.10994152
887	0.120467836
888	0.120467836
889	0.112250712
890	0.121500722
891	0.125730994
893	0.09033189
895	0.173099415
896	0.094152047
898	0.120467836
899	0.118903319
900	0.115204678
901	0.120467836
902	0.123099415
903	0.124098124
905	0.10994152
906	0.104678363
908	0.096783626
909	0.087734488
910	0.113708514
911	0.099415205
912	0.099415205
914	0.087734488
915	0.091520468
916	0.080994152
918	0.099415205
919	0.07994228
921	0.091520468
922	0.07994228
924	0.08625731
925	0.087734488
927	0.098124098
929	0.102046784
930	0.100721501
932	0.091520468
934	0.084045584
936	0.120467836
937	0.099415205
939	0.075730994
940	0.131890332
941	0.120467836
943	0.105916306
944	0.104678363
945	0.117836257
947	0.117378917
949	0.092929293
950	0.112250712
951	0.138888889
952	0.120467836
953	0.10994152
954	0.100721501
955	0.10994152
956	0.085137085
957	0.117836257
958	0.094152047
959	0.107309942
960	0.102046784
961	0.102046784
962	0.092929293
964	0.116305916
965	0.085137085
966	0.117836257
967	0.092929293
968	0.091520468
969	0.128362573
970	0.113271605
972	0.094301994
974	0.098124098
975	0.170851371
976	0.141520468
977	0.088888889
978	0.09033189
979	0.099430199
980	0.107309942
981	0.130994152
982	0.133625731
983	0.091520468
984	0.207309942
985	0.125730994
986	0.13625731
987	0.144877345
988	0.116305916
989	0.128362573
990	0.08625731
991	0.123099415
992	0.088888889
993	0.131890332
994	0.078362573
995	0.117836257
996	0.126695527
997	0.083625731
998	0.10994152
999	0.096866097
1000	0.087734488
1001	0.078362573
1002	0.085137085
1003	0.099415205
1004	0.133625731
1006	0.104678363
1007	0.112250712
1008	0.157309942
1009	0.08625731
1010	0.085137085
1011	0.082539683
1012	0.083625731
1013	0.170467836
1014	0.133625731
1015	0.163059163
1016	0.091520468
1017	0.115204678
1023	0.095526696
1024	0.154678363
1025	0.123099415
1026	0.095639944
1027	0.10994152
1028	0.096783626
1029	0.149415205
1030	0.112573099
1031	0.105916306
1032	0.133625731
1033	0.100721501
1034	0.091737892
1035	0.082539683
1036	0.188888889
1037	0.104678363
1038	0.113708514
1039	0.102046784
1040	0.099415205
1041	0.130994152
1042	0.115204678
1043	0.144877345
1044	0.10994152
1045	0.099415205
1046	0.125730994
1048	0.134487734
1049	0.099415205
1051	0.088888889
1052	0.096783626
1054	0.107309942
1055	0.096783626
1056	0.095526696
1057	0.094152047
1058	0.115204678
1060	0.08625731
1061	0.08625731
1063	0.094152047
1064	0.091520468
1066	0.094152047
1067	0.096783626
1068	0.126695527
1069	0.146783626
1070	0.092929293
1071	0.115204678
1072	0.121500722
1073	0.120467836
1074	0.118903319
1075	0.099415205
1076	0.08625731
1077	0.129292929
1078	0.137085137
1079	0.141520468
1080	0.144152047
1081	0.121500722
1082	0.117836257
1083	0.116305916
1084	0.146783626
1085	0.15007215
1086	0.112573099
1087	0.113708514
1088	0.104678363
1089	0.116305916
1090	0.099415205
1091	0.094152047
1092	0.091520468
1093	0.111407407
1094	0.090074074
1095	0.075730994
1096	0.10994152
1097	0.117378917
1098	0.128551336
1099	0.094152047
1100	0.138888889
1101	0.105916306
1102	0.104678363
1103	0.092929293
1104	0.129292929
1105	0.092929293
1106	0.096783626
1107	0.102046784
1108	0.099415205
1109	0.125730994
1110	0.123099415
1111	0.095526696
1112	0.096783626
1113	0.13019943
1114	0.183625731
1115	0.112573099
1116	0.125730994
1117	0.091520468
1118	0.088888889
1119	0.123099415
1120	0.107309942
1121	0.115204678
1122	0.08625731
1123	0.078362573
1124	0.099415205
1125	0.096783626
1126	0.10994152
1127	0.114814815
1128	0.121500722
1129	0.099415205
1130	0.115204678
1131	0.078362573
1132	0.104558405
1133	0.130994152
1134	0.112573099
1135	0.096783626
1136	0.117836257
1137	0.096783626
1138	0.07994228
1139	0.130994152
1140	0.088888889
1141	0.112573099
1142	0.104678363
1143	0.124098124
1144	0.138888889
1145	0.15007215
1146	0.112573099
1147	0.084045584
1148	0.088888889
1149	0.076353276
1150	0.115204678
1151	0.102046784
1152	0.087734488
1153	0.099415205
1154	0.10994152
1155	0.084045584
1156	0.096783626
1157	0.105916306
1158	0.080994152
1159	0.096783626
1160	0.091520468
1161	0.112573099
