4-a	cont_a	4-b	cont_b	4-c	cont_c	4-d	cont_d	4-e	cont_e	4-f	cont_f	4-g	cont_g	4-h	cont_h	4-i	cont_i
なみ	0.024936704	かも	0.052824669	こヒ	0.041330931	れば	0.026978713	きみ	0.052442907	ひト	0.047423166	やま	0.060323003	はな	0.040927189	おも	0.05147646
おほ	0.022443813	まノ	0.025388417	あら	0.035504274	あき	0.021960877	しき	0.021862348	コロ	0.038002905	まに	0.017388199	わが	0.038010013	いも	0.036059612
みノ	0.022288007	わた	0.020881597	トも	0.024770959	ゆき	0.021255243	われ	0.019425337	にし	0.027169604	らむ	0.015562874	ノは	0.025158671	もノ	0.033450607
ノう	0.02072995	るか	0.020723463	つつ	0.022164296	にけ	0.018981536	まつ	0.019346724	ココ	0.025442556	まノ	0.014689893	なく	0.023266449	あが	0.02546547
しま	0.016289487	かは	0.01922119	あれ	0.018637636	きノ	0.017962288	まく	0.018953657	コト	0.021831456	みち	0.014531169	いま	0.020349273	くも	0.025228288
しら	0.015120944	かた	0.016691046	あは	0.017564304	しか	0.017727077	みが	0.017853072	トノ	0.01908388	キノ	0.014451807	たち	0.018930106	なし	0.022223979
うら	0.01473143	つキ	0.016374778	まし	0.017104305	かり	0.017570269	みに	0.016988326	コノ	0.018769871	あし	0.013975636	トき	0.017274412	もが	0.021986797
くに	0.014030304	たる	0.01605851	あり	0.016567639	をし	0.014904543	たま	0.016909713	ふる	0.017199827	ゆく	0.013420102	さき	0.016170615	ノを	0.017796577
おき	0.013796596	がは	0.014477169	にあ	0.016490973	きは	0.01482614	くら	0.016280807	には	0.015237273	ノや	0.012705845	なき	0.015776402	もふ	0.015661936
する	0.01200483	つく	0.013844633	かく	0.015494308	あさ	0.014512525	いは	0.015101608	ドも	0.013274718	かむ	0.011991588	トト	0.012465014	もひ	0.015424754
きつ	0.011926927	ノか	0.013528365	あひ	0.014037643	けり	0.014355718	らむ	0.013450729	ゴト	0.010762649	りノ	0.011197968	ほト	0.012465014	しく	0.014950389
みや	0.011849024	あま	0.013212097	にも	0.014037643	きに	0.014120506	また	0.012192917	ロも	0.01044864	トり	0.011118606	なノ	0.011913115	しも	0.013606356
らに	0.011693219	ヨし	0.012500494	もあ	0.013654311	ける	0.012787644	きて	0.01203569	メに	0.010291636	つか	0.010563073	はる	0.01144006	かな	0.013131992
らノ	0.01145951	たり	0.012026092	トし	0.012810979	かぜ	0.011454781	まさ	0.011642624	わす	0.009899125	もみ	0.010483711	らし	0.01144006	くし	0.012025141
ふね	0.010446773	はノ	0.012026092	コソ	0.012734312	かす	0.010984358	わぎ	0.011328171	トに	0.009663618	しひ	0.010324987	メノ	0.011361217	もト	0.011708898
らな	0.010213064	たま	0.011472623	らず	0.012350979	ふり	0.010827551	はし	0.011249558	ノし	0.009663618	なが	0.009928177	なり	0.011282375	もな	0.011392655
みつ	0.009979356	あか	0.010365685	メや	0.012274313	しの	0.01059234	くさ	0.010699265	すれ	0.009428112	ゆか	0.009690092	がせ	0.010493949	くる	0.011155473
しノ	0.009745647	みむ	0.009416881	はむ	0.01189098	しも	0.01059234	みを	0.010620652	かね	0.009192605	いで	0.009134558	トぎ	0.010257421	なく	0.010997351
かし	0.008966619	かみ	0.008309943	らば	0.01189098	はギ	0.010435533	まで	0.010227585	にみ	0.008878596	もり	0.008975834	ぎす	0.010178578	がも	0.010681108
たつ	0.008343396	たノ	0.008230876	むト	0.011814314	のノ	0.009886707	かへ	0.009913132	トは	0.008564588	つま	0.00754732	ばな	0.00962668	もは	0.010285805
はま	0.008265493	みか	0.008151809	れは	0.011507647	すが	0.009808303	ぎも	0.009127	ノコ	0.008564588	むか	0.007467958	こが	0.009547838	もほ	0.009890501
うみ	0.007408562	ぬか	0.007914608	かに	0.011277648	たか	0.009808303	たび	0.009127	すら	0.008015072	まは	0.007388596	きな	0.00931131	トほ	0.009178954
まも	0.007408562	ひさ	0.007914608	やも	0.010894315	きか	0.009494688	もこ	0.008812547	れド	0.008015072	より	0.00715051	うメ	0.009153625	もヘ	0.008941772
みゆ	0.007330659	ほし	0.007914608	ノち	0.010740982	さむ	0.009259477	きた	0.008340867	みエ	0.00793657	へに	0.006991786	なか	0.009074782	らく	0.008388346
つし	0.007019047	さか	0.007123938	ある	0.009130985	かノ	0.009181073	でに	0.007869188	しゲ	0.007779566	まト	0.006991786	せこ	0.008838254	ひに	0.008072103
なる	0.007019047	ひノ	0.007044871	しな	0.009054318	すみ	0.008867459	きま	0.007790574	もし	0.007779566	ノま	0.006833062	やど	0.008759412	るし	0.008072103
ほみ	0.006707436	みれ	0.006570468	なに	0.008977652	なび	0.008397036	から	0.007397508	トい	0.007544059	くれ	0.006515614	くな	0.007813301	ひも	0.007913982
まを	0.00655163	がみ	0.006412334	なら	0.008287653	ノあ	0.008318633	ヘノ	0.007397508	こふ	0.007308553	みづ	0.006356891	ちば	0.007734458	ふら	0.007913982
いへ	0.006473727	ヨひ	0.006333267	もに	0.008287653	きぬ	0.007769807	いつ	0.007240281	ます	0.006916042	はに	0.006118805	なは	0.007655616	もを	0.007913982
まな	0.006473727	はら	0.006175133	しを	0.00813432	りけ	0.007769807	へり	0.007083055	けむ	0.006759038	かひ	0.005880719	りに	0.007103717	くは	0.007834921
しこ	0.006317922	れド	0.006175133	ノミ	0.007827654	つゆ	0.007691403	そで	0.007004442	いふ	0.006680535	コも	0.005801357	さか	0.007024875	がく	0.00775586
みな	0.006317922	ケて	0.005937932	らま	0.007827654	あメ	0.007534596	ほり	0.006925828	ふト	0.006523531	にか	0.005721995	いた	0.00686719	がこ	0.0076768
しほ	0.006240019	ばた	0.005937932	はず	0.007750987	けふ	0.007534596	ぬれ	0.006847215	ロに	0.006445029	ねノ	0.005563271	るは	0.006709504	ほゆ	0.007518678
もか	0.006240019	れる	0.005700731	みて	0.007520987	しら	0.007377788	やし	0.006375536	らを	0.006288024	くや	0.005483909	ちり	0.006551819	くに	0.007202435
ソノ	0.006162116	しつ	0.005542597	だに	0.007290988	たな	0.007220981	しろ	0.006218309	いメ	0.006209522	りは	0.005404547	がや	0.006472977	きも	0.006886192
